Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 19, 2022","Las Vegas, Nevada, USA",win,Kennedy Nzechukwu,Ion Cutelaba,1,0,24,9,0,2,0,0,Light Heavyweight,KO/TKO,Knee,2,1:02
"November 19, 2022","Las Vegas, Nevada, USA",win,Waldo Cortes-Acosta,Chase Sherman,0,0,147,66,0,1,0,0,Heavyweight,U-DEC,,3,5:00
"November 19, 2022","Las Vegas, Nevada, USA",win,Muslim Salikhov,Andre Fialho,0,0,56,17,1,0,0,0,Welterweight,KO/TKO,Kick,3,1:03
"November 19, 2022","Las Vegas, Nevada, USA",win,Jack Della Maddalena,Danny Roberts,2,0,33,5,0,0,0,0,Welterweight,KO/TKO,Punches,1,3:24
"November 19, 2022","Las Vegas, Nevada, USA",win,Charles Johnson,Zhalgas Zhumagulov,0,0,115,119,0,1,0,0,Flyweight,S-DEC,,3,5:00
"November 19, 2022","Las Vegas, Nevada, USA",win,Jennifer Maia,Maryna Moroz,0,0,109,80,0,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"November 19, 2022","Las Vegas, Nevada, USA",win,Miles Johns,Vince Morales,0,0,38,39,1,0,0,0,Bantamweight,U-DEC,,3,5:00
"November 19, 2022","Las Vegas, Nevada, USA",win,Ricky Turcios,Kevin Natividad,0,1,68,41,2,7,1,0,Bantamweight,S-DEC,,3,5:00
"November 19, 2022","Las Vegas, Nevada, USA",win,Vanessa Demopoulos,Maria Oliveira,1,0,55,83,2,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"November 19, 2022","Las Vegas, Nevada, USA",win,Brady Hiestand,Fernie Garcia,0,0,19,21,3,1,1,1,Bantamweight,U-DEC,,3,5:00
"November 19, 2022","Las Vegas, Nevada, USA",win,Natalia Silva,Tereza Bleda,1,0,45,18,0,1,0,2,Women's Flyweight,KO/TKO,Spinning Back Kick,3,1:27
