Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 11, 2023","Perth, Western Australia, Australia",win,Islam Makhachev,Alexander Volkanovski,0,1,57,70,4,0,0,0,Lightweight,U-DEC,,5,5:00
"February 11, 2023","Perth, Western Australia, Australia",win,Yair Rodriguez,Josh Emmett,0,0,62,22,0,1,1,0,Featherweight,SUB,Triangle Choke,2,4:19
"February 11, 2023","Perth, Western Australia, Australia",win,Jack Della Maddalena,Randy Brown,1,0,14,11,0,0,1,0,Welterweight,SUB,Rear Naked Choke,1,2:13
"February 11, 2023","Perth, Western Australia, Australia",win,Justin Tafa,Parker Porter,1,0,8,7,0,0,0,0,Heavyweight,KO/TKO,Punch,1,1:06
"February 11, 2023","Perth, Western Australia, Australia",drawdraw,Jimmy Crute,Alonzo Menifield,0,2,31,56,6,0,3,0,Light Heavyweight,M-DEC,,3,5:00
"February 11, 2023","Perth, Western Australia, Australia",win,Modestas Bukauskas,Tyson Pedro,0,0,44,45,0,2,0,0,Light Heavyweight,U-DEC,,3,5:00
"February 11, 2023","Perth, Western Australia, Australia",win,Josh Culibao,Melsik Baghdasaryan,0,0,16,26,0,0,1,0,Featherweight,SUB,Rear Naked Choke,2,2:02
"February 11, 2023","Perth, Western Australia, Australia",win,Kleydson Rodrigues,Shannon Ross,1,0,14,1,0,0,0,0,Flyweight,KO/TKO,Punches,1,0:59
"February 11, 2023","Perth, Western Australia, Australia",win,Jamie Mullarkey,Francisco Prado,0,0,59,28,3,0,0,1,Lightweight,U-DEC,,3,5:00
"February 11, 2023","Perth, Western Australia, Australia",win,Jack Jenkins,Don Shainis,0,0,82,50,4,1,0,2,Featherweight,U-DEC,,3,5:00
"February 11, 2023","Perth, Western Australia, Australia",win,Loma Lookboonmee,Elise Reed,0,0,17,17,2,0,1,0,Women's Strawweight,SUB,Rear Naked Choke,2,0:44
"February 11, 2023","Perth, Western Australia, Australia",win,Blake Bilder,Shane Young,0,0,111,80,1,0,0,0,Featherweight,U-DEC,,3,5:00
"February 11, 2023","Perth, Western Australia, Australia",win,Elves Brener,Zubaira Tukhugov,0,0,69,70,0,0,0,0,Lightweight,S-DEC,,3,5:00
