Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"January 20, 2018","Boston, Massachusetts, USA",win,Stipe Miocic,Francis Ngannou,0,0,70,21,6,0,0,1,Heavyweight,U-DEC,,5,5:00
"January 20, 2018","Boston, Massachusetts, USA",win,Daniel Cormier,Volkan Oezdemir,0,0,32,38,2,0,1,0,Light Heavyweight,KO/TKO,Punches,2,2:00
"January 20, 2018","Boston, Massachusetts, USA",win,Calvin Kattar,Shane Burgos,1,0,85,89,0,0,0,0,Featherweight,KO/TKO,Punch,3,0:32
"January 20, 2018","Boston, Massachusetts, USA",win,Gian Villante,Francimar Barroso,0,0,74,74,0,0,0,0,Light Heavyweight,S-DEC,,3,5:00
"January 20, 2018","Boston, Massachusetts, USA",win,Rob Font,Thomas Almeida,2,0,41,24,1,0,0,0,Bantamweight,KO/TKO,Kick,2,2:24
"January 20, 2018","Boston, Massachusetts, USA",win,Kyle Bochniak,Brandon Davis,0,0,33,38,3,1,0,0,Featherweight,U-DEC,,3,5:00
"January 20, 2018","Boston, Massachusetts, USA",win,Abdul Razak Alhassan,Sabah Homasi,1,0,13,8,0,1,0,0,Welterweight,KO/TKO,Punch,1,3:47
"January 20, 2018","Boston, Massachusetts, USA",win,Dustin Ortiz,Alexandre Pantoja,0,0,36,19,7,1,0,2,Flyweight,U-DEC,,3,5:00
"January 20, 2018","Boston, Massachusetts, USA",win,Julio Arce,Dan Ige,0,0,72,35,0,1,0,0,Featherweight,U-DEC,,3,5:00
"January 20, 2018","Boston, Massachusetts, USA",win,Enrique Barzola,Matt Bessette,0,0,55,43,5,0,0,0,Featherweight,U-DEC,,3,5:00
"January 20, 2018","Boston, Massachusetts, USA",win,Islam Makhachev,Gleison Tibau,1,0,3,2,0,0,0,0,Lightweight,KO/TKO,Punch,1,0:57
