Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",win,Vitor Belfort,Luke Rockhold,1,0,9,6,0,0,0,0,Middleweight,KO/TKO,Kick,1,2:32
"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",win,Jacare Souza,Chris Camozzi,0,0,8,4,1,0,1,0,Middleweight,SUB,Arm Triangle,1,3:37
"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",win,Rafael Dos Anjos,Evan Dunham,0,0,66,68,0,3,0,0,Lightweight,U-DEC,,3,5:00
"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",win,Rafael Natal,Joao Zeferino,0,0,29,14,1,0,0,2,Middleweight,U-DEC,,3,5:00
"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",win,Nik Lentz,Hacran Dias,1,0,42,40,4,1,0,1,Featherweight,U-DEC,,3,5:00
"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",win,Francisco Trinaldo,Mike Rio,0,0,5,5,1,1,1,0,Lightweight,SUB,Arm Triangle,1,3:08
"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",win,Gleison Tibau,John Cholish,0,0,21,9,2,0,1,0,Lightweight,SUB,Guillotine Choke,2,2:34
"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",win,Paulo Thiago,Michel Prazeres,0,0,46,30,2,3,0,0,Welterweight,U-DEC,,3,5:00
"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",win,Iuri Alcantara,Iliarde Santos,0,0,19,3,0,0,0,0,Bantamweight,KO/TKO,Punch,1,2:31
"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",win,Fabio Maldonado,Roger Hollett,0,0,100,29,1,2,0,0,Light Heavyweight,U-DEC,,3,5:00
"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",win,John Lineker,Azamat Gashimov,3,0,36,7,0,0,0,0,Flyweight,KO/TKO,Punch,2,1:07
"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",win,Jussier Formiga,Chris Cariaso,0,0,10,26,4,1,0,1,Flyweight,U-DEC,,3,5:00
"May 18, 2013","Jaragua do Sul, Santa Catarina, Brazil",win,Lucas Martins,Jeremy Larsen,1,1,39,52,0,2,0,0,Lightweight,KO/TKO,Punch,3,0:13
