Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 04, 2014","Halifax, Nova Scotia, Canada",win,Rory MacDonald,Tarec Saffiedine,1,0,47,42,1,0,0,0,Welterweight,KO/TKO,Punch,3,1:28
"October 04, 2014","Halifax, Nova Scotia, Canada",win,Raphael Assuncao,Bryan Caraway,0,0,75,39,2,2,0,0,Bantamweight,U-DEC,,3,5:00
"October 04, 2014","Halifax, Nova Scotia, Canada",win,Chad Laprise,Yosdenis Cedeno,0,0,35,17,4,0,0,0,Lightweight,U-DEC,,3,5:00
"October 04, 2014","Halifax, Nova Scotia, Canada",win,Elias Theodorou,Bruno Santos,0,0,43,16,3,4,0,0,Middleweight,U-DEC,,3,5:00
"October 04, 2014","Halifax, Nova Scotia, Canada",win,Nordine Taleb,Li Jingliang,0,0,66,43,2,2,0,0,Welterweight,S-DEC,,3,5:00
"October 04, 2014","Halifax, Nova Scotia, Canada",win,Mitch Gagnon,Roman Salazar,0,0,5,3,1,0,1,0,Bantamweight,SUB,Rear Naked Choke,1,2:06
"October 04, 2014","Halifax, Nova Scotia, Canada",win,Daron Cruickshank,Anthony Njokuani,0,0,42,40,6,0,0,0,Lightweight,U-DEC,,3,5:00
"October 04, 2014","Halifax, Nova Scotia, Canada",win,Olivier Aubin-Mercier,Jake Lindsey,0,0,31,24,2,1,1,0,Lightweight,SUB,Inverted Triangle,2,3:22
"October 04, 2014","Halifax, Nova Scotia, Canada",win,Paul Felder,Jason Saggo,0,1,51,29,1,6,0,0,Lightweight,S-DEC,,3,5:00
"October 04, 2014","Halifax, Nova Scotia, Canada",win,Chris Kelades,Paddy Holohan,0,0,50,26,2,3,1,0,Flyweight,U-DEC,,3,5:00
"October 04, 2014","Halifax, Nova Scotia, Canada",win,Albert Tumenov,Matt Dwyer,2,0,4,0,0,0,0,0,Welterweight,KO/TKO,Kick,1,1:03
"October 04, 2014","Halifax, Nova Scotia, Canada",ncnc,Pedro Munhoz,Jerrod Sanders,0,0,2,1,0,0,1,0,Bantamweight,Overturned,Guillotine Choke,1,0:39
