Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 04, 2018","Los Angeles, California, USA",win,TJ Dillashaw,Cody Garbrandt,2,0,45,17,0,0,0,0,Bantamweight,KO/TKO,Punches,1,4:10
"August 04, 2018","Los Angeles, California, USA",win,Henry Cejudo,Demetrious Johnson,0,0,51,81,3,1,0,0,Flyweight,S-DEC,,5,5:00
"August 04, 2018","Los Angeles, California, USA",win,Renato Moicano,Cub Swanson,1,0,17,20,1,0,1,0,Featherweight,SUB,Rear Naked Choke,1,4:15
"August 04, 2018","Los Angeles, California, USA",win,JJ Aldrich,Polyana Viana,0,0,40,46,0,1,0,0,Women's Strawweight,U-DEC,,3,5:00
"August 04, 2018","Los Angeles, California, USA",win,Thiago Santos,Kevin Holland,0,0,69,31,3,0,1,1,Middleweight,U-DEC,,3,5:00
"August 04, 2018","Los Angeles, California, USA",win,Pedro Munhoz,Brett Johns,3,0,117,73,0,0,1,0,Bantamweight,U-DEC,,3,5:00
"August 04, 2018","Los Angeles, California, USA",win,Ricky Simon,Montel Jackson,0,0,25,42,7,2,0,0,Bantamweight,U-DEC,,3,5:00
"August 04, 2018","Los Angeles, California, USA",win,Ricardo Ramos,Kyung Ho Kang,0,0,54,65,1,1,1,0,Bantamweight,S-DEC,,3,5:00
"August 04, 2018","Los Angeles, California, USA",win,Sheymon Moraes,Matt Sayles,0,0,73,77,0,0,0,0,Featherweight,U-DEC,,3,5:00
"August 04, 2018","Los Angeles, California, USA",win,Alex Perez,Jose Torres,1,0,84,29,0,0,0,0,Flyweight,KO/TKO,Punches,1,3:46
"August 04, 2018","Los Angeles, California, USA",win,Zhang Weili,Danielle Taylor,0,0,77,34,1,0,0,1,Women's Strawweight,U-DEC,,3,5:00
"August 04, 2018","Los Angeles, California, USA",win,Marlon Vera,Wulijiburen,1,0,45,31,1,2,0,0,Bantamweight,KO/TKO,Punch,2,4:53
