Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 03, 2019","Newark, New Jersey, USA",win,Colby Covington,Robbie Lawler,0,0,179,78,10,0,0,0,Welterweight,U-DEC,,5,5:00
"August 03, 2019","Newark, New Jersey, USA",win,Jim Miller,Clay Guida,0,0,2,2,0,0,1,0,Lightweight,SUB,Guillotine Choke,1,0:58
"August 03, 2019","Newark, New Jersey, USA",win,Nasrat Haqparast,Joaquim Silva,1,0,21,15,0,0,0,0,Lightweight,KO/TKO,Punch,2,0:36
"August 03, 2019","Newark, New Jersey, USA",win,Gerald Meerschaert,Trevin Giles,0,0,6,8,1,1,1,0,Middleweight,SUB,Guillotine Choke,3,1:49
"August 03, 2019","Newark, New Jersey, USA",win,Scott Holtzman,Dong Hyun Ma,1,0,44,16,1,1,0,0,Lightweight,KO/TKO,,2,5:00
"August 03, 2019","Newark, New Jersey, USA",win,Kennedy Nzechukwu,Darko Stosic,0,0,50,60,0,4,0,0,Light Heavyweight,U-DEC,,3,5:00
"August 03, 2019","Newark, New Jersey, USA",win,Mickey Gall,Salim Touahri,0,0,50,48,1,0,0,0,Welterweight,U-DEC,,3,5:00
"August 03, 2019","Newark, New Jersey, USA",win,Antonina Shevchenko,Lucie Pudilova,0,0,16,6,0,1,3,0,Women's Flyweight,SUB,Rear Naked Choke,2,1:20
"August 03, 2019","Newark, New Jersey, USA",win,Matt Schnell,Jordan Espinosa,0,0,3,5,0,0,1,0,Flyweight,SUB,Triangle Choke,1,1:23
"August 03, 2019","Newark, New Jersey, USA",win,Lauren Murphy,Mara Romero Borella,1,0,24,22,0,1,0,0,Women's Flyweight,KO/TKO,Knee,3,1:46
"August 03, 2019","Newark, New Jersey, USA",win,Claudio Silva,Cole Williams,0,0,32,2,1,0,1,0,Welterweight,SUB,Neck Crank,1,2:35
"August 03, 2019","Newark, New Jersey, USA",win,Miranda Granger,Hannah Goldy,0,0,61,55,0,0,0,0,Women's Flyweight,U-DEC,,3,5:00
