Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 01, 2009","Nashville, Tennessee, USA",win,Martin Kampmann,Carlos Condit,0,0,26,35,5,3,6,3,Welterweight,S-DEC,,3,5:00
"April 01, 2009","Nashville, Tennessee, USA",win,Ryan Bader,Carmelo Marrero,0,0,24,9,5,0,2,0,Light Heavyweight,U-DEC,,3,5:00
"April 01, 2009","Nashville, Tennessee, USA",win,Tyson Griffin,Rafael Dos Anjos,0,0,69,26,1,0,0,3,Lightweight,U-DEC,,3,5:00
"April 01, 2009","Nashville, Tennessee, USA",win,Cole Miller,Junie Browning,0,0,3,1,0,0,1,0,Lightweight,SUB,Guillotine Choke,1,1:58
"April 01, 2009","Nashville, Tennessee, USA",win,Gleison Tibau,Jeremy Stephens,0,0,7,23,5,0,3,0,Lightweight,U-DEC,,3,5:00
"April 01, 2009","Nashville, Tennessee, USA",win,Ricardo Almeida,Matt Horwich,0,0,41,25,9,0,1,3,Middleweight,U-DEC,,3,5:00
"April 01, 2009","Nashville, Tennessee, USA",win,Brock Larson,Jesse Sanders,0,0,13,0,1,0,1,0,Welterweight,SUB,Rear Naked Choke,1,2:01
"April 01, 2009","Nashville, Tennessee, USA",win,Tim Credeur,Nick Catone,0,0,9,19,0,3,7,0,Middleweight,SUB,Guillotine Choke,2,3:45
"April 01, 2009","Nashville, Tennessee, USA",win,Jorge Rivera,Nissen Osterneck,1,0,29,35,4,1,0,1,Middleweight,S-DEC,,3,5:00
"April 01, 2009","Nashville, Tennessee, USA",win,Rob Kimmons,Joe Vedepo,0,0,7,4,0,1,2,0,Middleweight,SUB,Guillotine Choke,1,1:54
"April 01, 2009","Nashville, Tennessee, USA",win,Aaron Simpson,Tim McKenzie,1,0,16,1,1,0,0,0,Middleweight,KO/TKO,Punches,1,1:40
