Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 28, 2010","Boston, Massachusetts, USA",win,Frankie Edgar,BJ Penn,0,0,94,36,3,2,0,0,Lightweight,U-DEC,,5,5:00
"August 28, 2010","Boston, Massachusetts, USA",win,Randy Couture,James Toney,0,0,8,0,1,0,2,0,Heavyweight,SUB,Arm Triangle,1,3:19
"August 28, 2010","Boston, Massachusetts, USA",win,Demian Maia,Mario Miranda,0,0,30,14,5,0,1,0,Middleweight,U-DEC,,3,5:00
"August 28, 2010","Boston, Massachusetts, USA",win,Gray Maynard,Kenny Florian,0,0,15,14,5,0,0,0,Lightweight,U-DEC,,3,5:00
"August 28, 2010","Boston, Massachusetts, USA",win,Nate Diaz,Marcus Davis,0,1,94,52,1,1,1,0,Welterweight,SUB,Guillotine Choke,3,4:02
"August 28, 2010","Boston, Massachusetts, USA",win,Joe Lauzon,Gabe Ruediger,0,0,19,1,2,0,1,0,Lightweight,SUB,Armbar,1,2:01
"August 28, 2010","Boston, Massachusetts, USA",win,Nik Lentz,Andre Winner,0,0,23,20,7,0,1,0,Lightweight,U-DEC,,3,5:00
"August 28, 2010","Boston, Massachusetts, USA",win,Dan Miller,John Salter,0,0,23,21,0,2,2,0,Middleweight,SUB,Guillotine Choke,2,1:53
"August 28, 2010","Boston, Massachusetts, USA",win,Greg Soto,Nick Osipczak,0,0,70,29,3,0,1,1,Welterweight,U-DEC,,3,5:00
"August 28, 2010","Boston, Massachusetts, USA",win,Mike Pierce,Amilcar Alves,0,0,31,4,4,0,2,0,Welterweight,SUB,Armbar,3,3:11
