Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil",win,Frank Mir,Antonio Silva,1,0,10,1,0,0,0,0,Heavyweight,KO/TKO,Punch,1,1:40
"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil",win,Michael Johnson,Edson Barboza,0,0,38,31,1,0,0,0,Lightweight,U-DEC,,3,5:00
"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil",win,Sam Alvey,Cezar Ferreira,1,0,4,13,0,0,0,0,Middleweight,KO/TKO,Punches,1,3:34
"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil",win,Adriano Martins,Rustam Khabilov,0,0,12,18,3,0,0,0,Lightweight,S-DEC,,3,5:00
"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil",win,Frankie Saenz,Iuri Alcantara,0,0,44,31,3,2,0,0,Bantamweight,U-DEC,,3,5:00
"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil",win,Santiago Ponzinibbio,Sean Strickland,0,0,50,44,1,2,0,0,Welterweight,U-DEC,,3,5:00
"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil",win,Marion Reneau,Jessica Andrade,0,1,6,6,0,0,1,0,Women's Bantamweight,SUB,Triangle Choke,1,1:54
"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil",win,Matt Dwyer,William Macario,1,0,13,8,0,0,0,0,Welterweight,KO/TKO,Punch,1,3:14
"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil",win,Mike de la Torre,Tiago dos Santos e Silva,1,0,16,7,0,0,0,0,Featherweight,KO/TKO,Punch,1,2:59
"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil",win,Douglas Silva de Andrade,Cody Gibson,1,0,39,30,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil",win,Ivan Jorge,Josh Shockley,0,0,25,22,3,0,1,0,Lightweight,U-DEC,,3,5:00
