Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 28, 2024","Paris, Ile-de-France, France",win,Renato Moicano,Benoit Saint Denis,0,0,50,25,1,0,0,0,Lightweight,KO/TKO,,2,5:00
"September 28, 2024","Paris, Ile-de-France, France",win,Nassourdine Imavov,Brendan Allen,0,0,57,30,0,1,0,0,Middleweight,U-DEC,,3,5:00
"September 28, 2024","Paris, Ile-de-France, France",win,William Gomis,Joanderson Brito,0,0,43,29,0,3,0,2,Featherweight,S-DEC,,3,5:00
"September 28, 2024","Paris, Ile-de-France, France",win,Bryan Battle,Kevin Jousset,0,0,97,58,0,0,0,0,Welterweight,KO/TKO,Punches,2,3:47
"September 28, 2024","Paris, Ile-de-France, France",win,Morgan Charriere,Gabriel Miranda,1,0,19,11,2,1,0,0,Featherweight,KO/TKO,Punch,2,0:27
"September 28, 2024","Paris, Ile-de-France, France",win,Fares Ziam,Matt Frevola,1,0,58,16,4,1,1,1,Lightweight,KO/TKO,Knee,3,2:59
"September 28, 2024","Paris, Ile-de-France, France",win,Ion Cutelaba,Ivan Erslan,0,0,45,39,3,1,0,0,Light Heavyweight,S-DEC,,3,5:00
"September 28, 2024","Paris, Ile-de-France, France",win,Oumar Sy,Da Woon Jung,0,0,90,29,2,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"September 28, 2024","Paris, Ile-de-France, France",win,Ludovit Klein,Roosevelt Roberts,0,0,45,24,2,0,0,0,Lightweight,U-DEC,,3,5:00
"September 28, 2024","Paris, Ile-de-France, France",win,Taylor Lapilus,Vince Morales,0,0,94,39,0,2,0,0,Bantamweight,U-DEC,,3,5:00
"September 28, 2024","Paris, Ile-de-France, France",win,Ailin Perez,Daria Zhelezniakova,0,0,7,5,2,1,1,0,Women's Bantamweight,SUB,Arm Triangle,1,3:52
"September 28, 2024","Paris, Ile-de-France, France",win,Daniel Barez,Victor Altamirano,1,0,67,71,0,0,0,0,Flyweight,U-DEC,,3,5:00
"September 28, 2024","Paris, Ile-de-France, France",win,Jacqueline Cavalcanti,Nora Cornolle,0,0,54,54,0,1,0,0,Women's Bantamweight,S-DEC,,3,5:00
"September 28, 2024","Paris, Ile-de-France, France",win,Chris Duncan,Bolaji Oki,0,0,10,28,0,2,1,0,Lightweight,SUB,Guillotine Choke,1,3:34
