Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 12, 2019","Tampa, Florida, USA",win,Joanna Jedrzejczyk,Michelle Waterson-Gomez,0,0,180,58,3,1,1,1,Women's Strawweight,U-DEC,,5,5:00
"October 12, 2019","Tampa, Florida, USA",win,Cub Swanson,Kron Gracie,0,0,135,86,0,0,0,0,Featherweight,U-DEC,,3,5:00
"October 12, 2019","Tampa, Florida, USA",win,Niko Price,James Vick,1,0,11,9,0,0,0,0,Welterweight,KO/TKO,Kick,1,1:44
"October 12, 2019","Tampa, Florida, USA",win,Amanda Ribas,Mackenzie Dern,0,0,74,20,2,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"October 12, 2019","Tampa, Florida, USA",win,Matt Frevola,Luis Pena,0,0,48,51,4,1,0,2,Lightweight,S-DEC,,3,5:00
"October 12, 2019","Tampa, Florida, USA",win,Eryk Anders,Gerald Meerschaert,0,0,64,72,0,0,0,0,Middleweight,S-DEC,,3,5:00
"October 12, 2019","Tampa, Florida, USA",win,Ryan Spann,Devin Clark,0,0,17,17,0,2,1,0,Light Heavyweight,SUB,Guillotine Choke,2,2:01
"October 12, 2019","Tampa, Florida, USA",win,Mike Davis,Thomas Gifford,2,0,139,88,2,0,0,0,Lightweight,KO/TKO,Punch,3,4:45
"October 12, 2019","Tampa, Florida, USA",win,Alex Morono,Max Griffin,1,0,81,75,0,4,0,0,Welterweight,U-DEC,,3,5:00
"October 12, 2019","Tampa, Florida, USA",win,Deiveson Figueiredo,Tim Elliott,0,0,8,26,0,1,1,0,Flyweight,SUB,Guillotine Choke,1,3:08
"October 12, 2019","Tampa, Florida, USA",win,Marlon Vera,Andre Ewell,0,0,80,50,0,0,2,0,Bantamweight,KO/TKO,Elbows,3,3:17
"October 12, 2019","Tampa, Florida, USA",win,Miguel Baeza,Hector Aldana,1,0,35,8,1,0,0,0,Welterweight,KO/TKO,Kick,2,2:32
"October 12, 2019","Tampa, Florida, USA",win,Marvin Vettori,Andrew Sanchez,0,0,85,39,0,0,0,0,Middleweight,U-DEC,,3,5:00
"October 12, 2019","Tampa, Florida, USA",win,JJ Aldrich,Lauren Mueller,0,0,74,54,1,1,0,0,Women's Flyweight,U-DEC,,3,5:00
