Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 12, 2021","Glendale, Arizona, USA",win,Israel Adesanya,Marvin Vettori,0,0,96,58,0,4,0,0,Middleweight,U-DEC,,5,5:00
"June 12, 2021","Glendale, Arizona, USA",win,Brandon Moreno,Deiveson Figueiredo,1,0,47,24,2,1,2,0,Flyweight,SUB,Rear Naked Choke,3,2:26
"June 12, 2021","Glendale, Arizona, USA",win,Leon Edwards,Nate Diaz,0,0,77,76,4,0,0,0,Welterweight,U-DEC,,5,5:00
"June 12, 2021","Glendale, Arizona, USA",win,Belal Muhammad,Demian Maia,0,0,45,21,0,1,0,0,Welterweight,U-DEC,,3,5:00
"June 12, 2021","Glendale, Arizona, USA",win,Paul Craig,Jamahal Hill,0,0,23,1,0,0,3,0,Light Heavyweight,KO/TKO,Punches,1,1:59
"June 12, 2021","Glendale, Arizona, USA",win,Brad Riddell,Drew Dober,0,0,89,73,5,1,0,0,Lightweight,U-DEC,,3,5:00
"June 12, 2021","Glendale, Arizona, USA",win,Eryk Anders,Darren Stewart,0,0,44,33,0,2,0,0,Light Heavyweight,U-DEC,,3,5:00
"June 12, 2021","Glendale, Arizona, USA",win,Lauren Murphy,Joanne Wood,0,0,80,123,1,0,0,0,Women's Flyweight,S-DEC,,3,5:00
"June 12, 2021","Glendale, Arizona, USA",win,Movsar Evloev,Hakeem Dawodu,0,0,42,39,9,0,2,0,Featherweight,U-DEC,,3,5:00
"June 12, 2021","Glendale, Arizona, USA",win,Pannie Kianzad,Alexis Davis,0,0,124,132,0,1,0,0,Women's Bantamweight,U-DEC,,3,5:00
"June 12, 2021","Glendale, Arizona, USA",win,Terrance McKinney,Matt Frevola,1,0,4,0,0,0,0,0,Lightweight,KO/TKO,Punch,1,0:07
"June 12, 2021","Glendale, Arizona, USA",win,Steven Peterson,Chase Hooper,0,0,49,31,1,3,2,2,Featherweight,U-DEC,,3,5:00
"June 12, 2021","Glendale, Arizona, USA",win,Fares Ziam,Luigi Vendramini,0,0,39,34,0,1,0,0,Lightweight,M-DEC,,3,5:00
"June 12, 2021","Glendale, Arizona, USA",win,Carlos Felipe,Jake Collier,0,0,94,130,0,0,0,0,Heavyweight,S-DEC,,3,5:00
