Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 14, 2024","Las Vegas, Nevada, USA",win,Merab Dvalishvili,Sean O'Malley,0,0,82,47,6,0,0,0,Bantamweight,U-DEC,,5,5:00
"September 14, 2024","Las Vegas, Nevada, USA",win,Valentina Shevchenko,Alexa Grasso,0,0,45,18,8,1,0,2,Women's Flyweight,U-DEC,,5,5:00
"September 14, 2024","Las Vegas, Nevada, USA",win,Diego Lopes,Brian Ortega,0,0,106,63,1,0,0,0,Featherweight,U-DEC,,3,5:00
"September 14, 2024","Las Vegas, Nevada, USA",win,Esteban Ribovics,Daniel Zellhuber,0,1,156,121,0,0,0,0,Lightweight,S-DEC,,3,5:00
"September 14, 2024","Las Vegas, Nevada, USA",win,Ronaldo Rodriguez,Ode Osbourne,0,1,35,37,1,1,0,2,Flyweight,U-DEC,,3,5:00
"September 14, 2024","Las Vegas, Nevada, USA",win,Norma Dumont,Irene Aldana,0,0,159,69,0,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
"September 14, 2024","Las Vegas, Nevada, USA",win,Ignacio Bahamondes,Manuel Torres,2,0,31,20,0,0,0,0,Lightweight,KO/TKO,Punch,1,4:02
"September 14, 2024","Las Vegas, Nevada, USA",win,Ketlen Souza,Yazmin Jauregui,1,0,21,35,0,0,1,0,Women's Strawweight,SUB,Rear Naked Choke,1,3:02
"September 14, 2024","Las Vegas, Nevada, USA",win,Joshua Van,Edgar Chairez,0,0,118,79,3,0,0,1,Flyweight,U-DEC,,3,5:00
"September 14, 2024","Las Vegas, Nevada, USA",win,Raul Rosas Jr.,Aoriqileng,0,0,41,22,3,0,0,0,Bantamweight,U-DEC,,3,5:00
