Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 19, 2011","San Jose, California, USA",win,Dan Henderson,Mauricio Rua,1,0,77,96,1,5,1,1,Light Heavyweight,U-DEC,,5,5:00
"November 19, 2011","San Jose, California, USA",win,Wanderlei Silva,Cung Le,1,0,43,32,0,0,0,0,Middleweight,KO/TKO,Knee,2,4:49
"November 19, 2011","San Jose, California, USA",win,Urijah Faber,Brian Bowles,1,0,36,13,1,0,1,0,Bantamweight,SUB,Guillotine Choke,2,1:27
"November 19, 2011","San Jose, California, USA",win,Martin Kampmann,Rick Story,0,0,38,61,3,1,1,0,Welterweight,S-DEC,,3,5:00
"November 19, 2011","San Jose, California, USA",win,Stephan Bonnar,Kyle Kingsbury,0,0,36,31,4,0,1,0,Light Heavyweight,U-DEC,,3,5:00
"November 19, 2011","San Jose, California, USA",win,Ryan Bader,Jason Brilz,1,0,6,1,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,1:17
"November 19, 2011","San Jose, California, USA",win,Michael McDonald,Alex Soto,2,0,12,6,0,0,0,0,Bantamweight,KO/TKO,Punches,1,0:56
"November 19, 2011","San Jose, California, USA",win,Chris Weidman,Tom Lawlor,0,0,3,2,1,0,1,0,Middleweight,SUB,D'Arce Choke,1,2:07
"November 19, 2011","San Jose, California, USA",win,Gleison Tibau,Rafael Dos Anjos,0,0,56,25,2,0,0,0,Lightweight,S-DEC,,3,5:00
"November 19, 2011","San Jose, California, USA",win,Miguel Torres,Nick Pace,0,0,64,31,0,1,0,0,Bantamweight,U-DEC,,3,5:00
"November 19, 2011","San Jose, California, USA",win,Seth Baczynski,Matt Brown,0,0,17,19,1,1,1,0,Welterweight,SUB,Guillotine Choke,2,0:42
"November 19, 2011","San Jose, California, USA",win,Danny Castillo,Shamar Bailey,0,0,22,3,3,0,0,0,Lightweight,KO/TKO,Punches,1,4:52
