Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 25, 2021","Las Vegas, Nevada, USA",win,Alexander Volkanovski,Brian Ortega,0,0,214,88,0,2,0,3,Featherweight,U-DEC,,5,5:00
"September 25, 2021","Las Vegas, Nevada, USA",win,Valentina Shevchenko,Lauren Murphy,0,0,98,11,3,0,0,0,Women's Flyweight,KO/TKO,Punches,4,4:00
"September 25, 2021","Las Vegas, Nevada, USA",win,Robbie Lawler,Nick Diaz,0,0,131,150,0,0,0,0,Middleweight,KO/TKO,Punch,3,0:44
"September 25, 2021","Las Vegas, Nevada, USA",win,Curtis Blaydes,Jairzinho Rozenstruik,0,0,32,18,3,0,0,0,Heavyweight,U-DEC,,3,5:00
"September 25, 2021","Las Vegas, Nevada, USA",win,Jessica Andrade,Cynthia Calvillo,0,0,48,27,0,0,0,0,Women's Flyweight,KO/TKO,Punches,1,4:54
"September 25, 2021","Las Vegas, Nevada, USA",win,Merab Dvalishvili,Marlon Moraes,0,1,69,29,4,0,0,0,Bantamweight,KO/TKO,Punches,2,4:25
"September 25, 2021","Las Vegas, Nevada, USA",win,Dan Hooker,Nasrat Haqparast,0,0,73,27,3,0,0,0,Lightweight,U-DEC,,3,5:00
"September 25, 2021","Las Vegas, Nevada, USA",win,Chris Daukaus,Shamil Abdurakhimov,2,0,38,23,0,0,0,0,Heavyweight,KO/TKO,Punch,2,1:23
"September 25, 2021","Las Vegas, Nevada, USA",win,Taila Santos,Roxanne Modafferi,1,0,55,18,5,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"September 25, 2021","Las Vegas, Nevada, USA",win,Jalin Turner,Uros Medic,0,0,25,6,1,0,1,0,Lightweight,SUB,Rear Naked Choke,1,4:01
"September 25, 2021","Las Vegas, Nevada, USA",win,Nick Maximov,Cody Brundage,0,0,14,28,4,0,0,1,Middleweight,U-DEC,,3,5:00
"September 25, 2021","Las Vegas, Nevada, USA",win,Matthew Semelsberger,Martin Sano,1,0,3,1,0,0,0,0,Welterweight,KO/TKO,Punch,1,0:15
"September 25, 2021","Las Vegas, Nevada, USA",win,Jonathan Pearce,Omar Morales,0,0,12,12,6,0,1,0,Featherweight,SUB,Rear Naked Choke,2,3:31
