Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 11, 2010","Montreal, Quebec, Canada",win,Georges St-Pierre,Josh Koscheck,0,0,110,16,4,1,0,0,Welterweight,U-DEC,,5,5:00
"December 11, 2010","Montreal, Quebec, Canada",win,Stefan Struve,Sean McCorkle,0,0,11,4,0,1,0,2,Heavyweight,KO/TKO,Punches,1,3:55
"December 11, 2010","Montreal, Quebec, Canada",win,Jim Miller,Charles Oliveira,0,0,1,5,1,0,2,0,Lightweight,SUB,Kneebar,1,1:59
"December 11, 2010","Montreal, Quebec, Canada",win,Mac Danzig,Joe Stevenson,1,0,9,6,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:54
"December 11, 2010","Montreal, Quebec, Canada",win,Thiago Alves,John Howard,1,0,73,37,2,0,0,0,Welterweight,U-DEC,,3,5:00
"December 11, 2010","Montreal, Quebec, Canada",win,Dan Miller,Joe Doerksen,0,0,18,12,5,0,1,2,Middleweight,S-DEC,,3,5:00
"December 11, 2010","Montreal, Quebec, Canada",win,Mark Bocek,Dustin Hazelett,0,0,9,0,1,0,1,0,Lightweight,SUB,Triangle Choke,1,2:33
"December 11, 2010","Montreal, Quebec, Canada",drawdraw,Jesse Bongfeldt,Rafael Natal,0,0,53,13,2,5,0,0,Middleweight,M-DEC,,3,5:00
"December 11, 2010","Montreal, Quebec, Canada",win,Sean Pierson,Matthew Riddle,1,0,112,35,1,0,1,1,Welterweight,U-DEC,,3,5:00
"December 11, 2010","Montreal, Quebec, Canada",win,Ricardo Almeida,TJ Grant,0,0,48,6,6,0,0,0,Welterweight,U-DEC,,3,5:00
"December 11, 2010","Montreal, Quebec, Canada",win,John Makdessi,Pat Audinwood,1,0,74,19,0,1,0,0,Lightweight,U-DEC,,3,5:00
