Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 30, 2020","Las Vegas, Nevada, USA",win,Gilbert Burns,Tyron Woodley,0,0,83,28,2,0,1,0,Welterweight,U-DEC,,5,5:00
"May 30, 2020","Las Vegas, Nevada, USA",win,Augusto Sakai,Blagoy Ivanov,0,0,78,66,0,1,0,0,Heavyweight,S-DEC,,3,5:00
"May 30, 2020","Las Vegas, Nevada, USA",win,Billy Quarantillo,Spike Carlyle,0,0,49,37,2,3,2,0,Catch Weight,U-DEC,,3,5:00
"May 30, 2020","Las Vegas, Nevada, USA",win,Roosevelt Roberts,Brok Weaver,0,0,40,14,1,0,3,0,Lightweight,SUB,Rear Naked Choke,2,3:26
"May 30, 2020","Las Vegas, Nevada, USA",win,Mackenzie Dern,Hannah Cifers,0,0,5,7,0,0,1,0,Women's Strawweight,SUB,Kneebar,1,2:36
"May 30, 2020","Las Vegas, Nevada, USA",win,Katlyn Cerminara,Antonina Shevchenko,0,0,73,25,3,0,4,0,Women's Flyweight,U-DEC,,3,5:00
"May 30, 2020","Las Vegas, Nevada, USA",win,Daniel Rodriguez,Gabe Green,0,0,175,127,1,0,0,0,Welterweight,U-DEC,,3,5:00
"May 30, 2020","Las Vegas, Nevada, USA",ncnc,Jamahal Hill,Klidson Abreu,2,0,14,5,0,0,0,0,Light Heavyweight,Overturned,Knee,1,1:51
"May 30, 2020","Las Vegas, Nevada, USA",win,Brandon Royval,Tim Elliott,0,0,16,17,1,4,2,0,Flyweight,SUB,Arm Triangle,2,3:18
"May 30, 2020","Las Vegas, Nevada, USA",win,Casey Kenney,Louis Smolka,0,0,32,18,0,0,1,0,Bantamweight,SUB,Guillotine Choke,1,3:03
"May 30, 2020","Las Vegas, Nevada, USA",win,Chris Gutierrez,Vince Morales,2,0,60,8,0,0,0,0,Featherweight,KO/TKO,Kick,2,4:27
