Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil",win,Max Holloway,Jose Aldo,1,0,104,55,0,0,0,0,Featherweight,KO/TKO,Punches,3,4:13
"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil",win,Claudia Gadelha,Karolina Kowalkiewicz,0,0,8,9,1,0,1,0,Women's Strawweight,SUB,Rear Naked Choke,1,3:03
"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil",win,Vitor Belfort,Nate Marquardt,0,0,37,57,0,1,0,0,Middleweight,U-DEC,,3,5:00
"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil",win,Paulo Costa,Oluwale Bamgbose,0,0,43,33,0,2,0,0,Middleweight,KO/TKO,Punches,2,1:06
"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil",win,Yancy Medeiros,Erick Silva,1,0,33,29,0,0,0,0,Welterweight,KO/TKO,Punch,2,2:01
"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil",win,Raphael Assuncao,Marlon Moraes,0,0,43,44,0,0,0,0,Bantamweight,S-DEC,,3,5:00
"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil",win,Antonio Carlos Junior,Eric Spicely,0,0,12,17,1,1,2,0,Middleweight,SUB,Rear Naked Choke,2,3:49
"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil",win,Matthew Lopez,Johnny Eduardo,0,0,43,16,1,0,0,1,Bantamweight,KO/TKO,Punches,1,2:57
"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil",win,Brian Kelleher,Iuri Alcantara,0,0,4,12,0,1,1,0,Bantamweight,SUB,Guillotine Choke,1,1:48
"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil",win,Viviane Pereira,Jamie Moyle,0,0,80,80,0,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil",win,Luan Chagas,Jim Wallhead,1,0,95,32,0,0,1,0,Welterweight,SUB,Rear Naked Choke,2,4:48
"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil",win,Deiveson Figueiredo,Marco Beltran,1,0,17,16,2,0,4,0,Flyweight,KO/TKO,,2,5:00
