Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 22, 2014","Austin, Texas, USA",win,Frankie Edgar,Cub Swanson,0,0,93,31,7,0,2,0,Featherweight,SUB,Neck Crank,5,4:56
"November 22, 2014","Austin, Texas, USA",win,Edson Barboza,King Green,0,0,54,50,0,0,0,0,Lightweight,U-DEC,,3,5:00
"November 22, 2014","Austin, Texas, USA",win,Chico Camus,Brad Pickett,0,0,71,53,1,2,0,0,Flyweight,S-DEC,,3,5:00
"November 22, 2014","Austin, Texas, USA",win,Aleksei Oleinik,Jared Rosholt,1,0,13,19,0,0,0,0,Heavyweight,KO/TKO,Punch,1,3:21
"November 22, 2014","Austin, Texas, USA",win,Joseph Benavidez,Dustin Ortiz,0,0,94,37,2,2,0,0,Flyweight,U-DEC,,3,5:00
"November 22, 2014","Austin, Texas, USA",win,Matt Wiman,Isaac Vallie-Flagg,0,0,68,80,0,0,0,0,Lightweight,U-DEC,,3,5:00
"November 22, 2014","Austin, Texas, USA",win,Ruslan Magomedov,Josh Copeland,1,0,63,20,1,0,0,0,Heavyweight,U-DEC,,3,5:00
"November 22, 2014","Austin, Texas, USA",win,Roger Narvaez,Luke Barnatt,1,0,48,34,0,0,2,0,Middleweight,S-DEC,,3,5:00
"November 22, 2014","Austin, Texas, USA",win,James Vick,Nick Hein,0,2,40,25,0,0,0,0,Lightweight,U-DEC,,3,5:00
"November 22, 2014","Austin, Texas, USA",win,Akbarh Arreola,Yves Edwards,1,0,12,5,1,0,1,0,Lightweight,SUB,Armbar,1,1:52
"November 22, 2014","Austin, Texas, USA",win,Paige VanZant,Kailin Curran,0,0,61,28,3,5,3,0,Women's Strawweight,KO/TKO,Punches,3,2:54
"November 22, 2014","Austin, Texas, USA",win,Dooho Choi,Juan Manuel Puig,1,0,10,0,0,0,0,0,Featherweight,KO/TKO,Punch,1,0:18
