Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 21, 2012","Atlanta, Georgia, USA",win,Jon Jones,Rashad Evans,0,0,105,45,1,0,0,0,Light Heavyweight,U-DEC,,5,5:00
"April 21, 2012","Atlanta, Georgia, USA",win,Rory MacDonald,Che Mills,0,0,47,6,2,0,0,0,Welterweight,KO/TKO,Punches,2,2:20
"April 21, 2012","Atlanta, Georgia, USA",win,Ben Rothwell,Brendan Schaub,1,0,8,9,0,0,0,0,Heavyweight,KO/TKO,Punch,1,1:10
"April 21, 2012","Atlanta, Georgia, USA",win,Michael McDonald,Miguel Torres,1,0,16,8,0,0,0,0,Bantamweight,KO/TKO,Punch,1,3:18
"April 21, 2012","Atlanta, Georgia, USA",win,Eddie Yagin,Mark Hominick,2,0,84,110,0,0,0,0,Featherweight,S-DEC,,3,5:00
"April 21, 2012","Atlanta, Georgia, USA",win,Mark Bocek,John Alessio,0,0,74,33,5,0,0,0,Lightweight,U-DEC,,3,5:00
"April 21, 2012","Atlanta, Georgia, USA",win,Travis Browne,Chad Griggs,0,0,4,0,1,0,1,0,Heavyweight,SUB,Arm Triangle,1,2:29
"April 21, 2012","Atlanta, Georgia, USA",win,Matt Brown,Stephen Thompson,0,0,36,67,5,0,1,0,Welterweight,U-DEC,,3,5:00
"April 21, 2012","Atlanta, Georgia, USA",win,Anthony Njokuani,John Makdessi,0,0,73,39,0,0,0,0,Lightweight,U-DEC,,3,5:00
"April 21, 2012","Atlanta, Georgia, USA",win,Mac Danzig,Efrain Escudero,0,0,67,56,1,0,0,1,Lightweight,U-DEC,,3,5:00
"April 21, 2012","Atlanta, Georgia, USA",win,Chris Clements,Keith Wisniewski,2,0,68,28,0,3,0,1,Welterweight,S-DEC,,3,5:00
"April 21, 2012","Atlanta, Georgia, USA",win,Marcus Brimage,Maximo Blanco,0,0,24,18,0,0,0,0,Featherweight,S-DEC,,3,5:00
