Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 15, 2023","Kansas City, Missouri, USA",win,Max Holloway,Arnold Allen,0,0,147,76,0,0,0,0,Featherweight,U-DEC,,5,5:00
"April 15, 2023","Kansas City, Missouri, USA",win,Edson Barboza,Billy Quarantillo,1,0,21,19,0,0,0,0,Featherweight,KO/TKO,Knee,1,2:37
"April 15, 2023","Kansas City, Missouri, USA",win,Azamat Murzakanov,Dustin Jacoby,1,0,67,64,1,1,0,0,Light Heavyweight,U-DEC,,3,5:00
"April 15, 2023","Kansas City, Missouri, USA",win,Ion Cutelaba,Tanner Boser,0,0,30,5,1,0,0,0,Light Heavyweight,KO/TKO,Punches,1,2:05
"April 15, 2023","Kansas City, Missouri, USA",win,Pedro Munhoz,Chris Gutierrez,1,0,60,77,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"April 15, 2023","Kansas City, Missouri, USA",win,Rafa Garcia,Clay Guida,0,0,141,63,0,0,0,0,Lightweight,U-DEC,,3,5:00
"April 15, 2023","Kansas City, Missouri, USA",win,Bill Algeo,TJ Brown,1,0,64,46,1,1,1,0,Featherweight,SUB,Rear Naked Choke,2,1:40
"April 15, 2023","Kansas City, Missouri, USA",win,Brandon Royval,Matheus Nicolau,1,0,13,2,0,0,0,0,Flyweight,KO/TKO,Knee,1,2:09
"April 15, 2023","Kansas City, Missouri, USA",win,Zak Cummings,Ed Herman,3,0,100,54,0,0,0,0,Light Heavyweight,KO/TKO,Punches,3,4:13
"April 15, 2023","Kansas City, Missouri, USA",win,Gillian Robertson,Piera Rodriguez,0,0,26,12,2,1,1,0,Women's Strawweight,SUB,Armbar,2,4:21
"April 15, 2023","Kansas City, Missouri, USA",win,Daniel Zellhuber,Lando Vannata,1,0,78,51,0,0,0,0,Lightweight,U-DEC,,3,5:00
"April 15, 2023","Kansas City, Missouri, USA",win,Denise Gomes,Bruna Brasil,1,0,54,15,3,0,0,0,Women's Strawweight,KO/TKO,Punches,2,2:42
"April 15, 2023","Kansas City, Missouri, USA",win,Gaston Bolanos,Aaron Phillips,0,0,63,17,0,3,0,1,Bantamweight,U-DEC,,3,5:00
"April 15, 2023","Kansas City, Missouri, USA",win,Joselyne Edwards,Lucie Pudilova,0,0,56,39,0,2,0,0,Women's Bantamweight,S-DEC,,3,5:00
