Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 06, 2010","Las Vegas, Nevada, USA",win,Randy Couture,Mark Coleman,0,0,44,10,1,0,1,0,Light Heavyweight,SUB,Rear Naked Choke,2,1:09
"February 06, 2010","Las Vegas, Nevada, USA",win,Chael Sonnen,Nate Marquardt,0,0,39,11,6,0,0,2,Middleweight,U-DEC,,3,5:00
"February 06, 2010","Las Vegas, Nevada, USA",win,Paulo Thiago,Mike Swick,1,0,9,7,0,1,1,0,Welterweight,SUB,D'Arce Choke,2,1:54
"February 06, 2010","Las Vegas, Nevada, USA",win,Demian Maia,Dan Miller,0,0,30,20,4,0,0,0,Middleweight,U-DEC,,3,5:00
"February 06, 2010","Las Vegas, Nevada, USA",win,Matt Serra,Frank Trigg,1,0,12,6,0,0,0,0,Welterweight,KO/TKO,Punch,1,2:23
"February 06, 2010","Las Vegas, Nevada, USA",win,Mac Danzig,Justin Buchholz,0,0,62,30,3,0,0,1,Lightweight,U-DEC,,3,5:00
"February 06, 2010","Las Vegas, Nevada, USA",win,Melvin Guillard,Ronys Torres,0,0,34,6,0,5,0,1,Lightweight,U-DEC,,3,5:00
"February 06, 2010","Las Vegas, Nevada, USA",win,Rob Emerson,Phillipe Nover,0,0,26,19,7,0,0,2,Lightweight,U-DEC,,3,5:00
"February 06, 2010","Las Vegas, Nevada, USA",win,Phil Davis,Brian Stann,0,0,48,5,3,0,1,0,Light Heavyweight,U-DEC,,3,5:00
"February 06, 2010","Las Vegas, Nevada, USA",win,Chris Tuchscherer,Tim Hague,0,0,24,34,1,1,1,1,Heavyweight,M-DEC,,3,5:00
"February 06, 2010","Las Vegas, Nevada, USA",win,Joey Beltran,Rolles Gracie,0,0,22,15,0,1,0,0,Heavyweight,KO/TKO,Punches,2,1:31
