Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"January 14, 2012","Rio de Janeiro, Brazil",win,Jose Aldo,Chad Mendes,1,0,11,13,0,0,0,0,Featherweight,KO/TKO,Knee,1,4:59
"January 14, 2012","Rio de Janeiro, Brazil",win,Vitor Belfort,Anthony Johnson,0,0,14,4,0,2,1,0,Middleweight,SUB,Rear Naked Choke,1,4:49
"January 14, 2012","Rio de Janeiro, Brazil",win,Rousimar Palhares,Mike Massenzio,0,0,4,0,0,0,1,0,Middleweight,SUB,Heel Hook,1,1:03
"January 14, 2012","Rio de Janeiro, Brazil",win,Carlo Prater,Erick Silva,0,0,0,8,0,0,0,0,Welterweight,DQ,,1,0:29
"January 14, 2012","Rio de Janeiro, Brazil",win,Edson Barboza,Terry Etim,1,0,47,26,0,2,0,0,Lightweight,KO/TKO,Kick,3,2:02
"January 14, 2012","Rio de Janeiro, Brazil",win,Thiago Tavares,Sam Stout,0,0,50,45,2,0,0,0,Lightweight,U-DEC,,3,5:00
"January 14, 2012","Rio de Janeiro, Brazil",win,Gabriel Gonzaga,Ednaldo Oliveira,0,0,2,0,2,0,1,0,Heavyweight,SUB,Rear Naked Choke,1,3:22
"January 14, 2012","Rio de Janeiro, Brazil",win,Iuri Alcantara,Michihiro Omigawa,0,0,60,24,0,1,2,0,Featherweight,U-DEC,,3,5:00
"January 14, 2012","Rio de Janeiro, Brazil",win,Mike Pyle,Ricardo Funch,1,0,11,2,0,0,0,0,Welterweight,KO/TKO,Knees,1,1:22
"January 14, 2012","Rio de Janeiro, Brazil",win,Felipe Arantes,Antonio Carvalho,0,0,53,37,0,0,0,0,Featherweight,U-DEC,,3,5:00
