Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Calvin Kattar,Dan Ige,0,0,105,84,1,0,0,0,Featherweight,U-DEC,,5,5:00
"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Tim Elliott,Ryan Benoit,0,0,67,55,1,1,2,2,Flyweight,U-DEC,,3,5:00
"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Jimmie Rivera,Cody Stamann,0,0,48,26,2,1,1,0,Featherweight,U-DEC,,3,5:00
"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Taila Santos,Molly McCann,0,0,57,48,5,0,1,0,Women's Flyweight,U-DEC,,3,5:00
"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Mounir Lazzez,Abdul Razak Alhassan,0,0,98,67,4,1,0,0,Welterweight,U-DEC,,3,5:00
"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Khamzat Chimaev,John Phillips,0,0,43,1,2,0,1,0,Middleweight,SUB,D'Arce Choke,2,1:12
"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Lerone Murphy,Ricardo Ramos,0,0,22,10,1,0,0,0,Featherweight,KO/TKO,Punches,1,4:18
"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Modestas Bukauskas,Andreas Michailidis,0,0,18,23,0,0,0,0,Light Heavyweight,KO/TKO,,1,5:00
"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Jared Gordon,Chris Fishgold,0,0,44,20,3,0,0,1,Featherweight,U-DEC,,3,5:00
"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Liana Jojua,Diana Belbita,0,0,2,5,0,1,3,0,Women's Flyweight,SUB,Armbar,1,2:43
"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",win,Jack Shore,Aaron Phillips,0,0,29,6,3,0,1,0,Bantamweight,SUB,Rear Naked Choke,2,2:29
