Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 16, 2017","Pittsburgh, Pennsylvania, USA",win,Luke Rockhold,David Branch,0,0,58,25,2,1,0,0,Middleweight,KO/TKO,Punches,2,4:05
"September 16, 2017","Pittsburgh, Pennsylvania, USA",win,Mike Perry,Alex Reyes,1,0,11,6,0,0,0,0,Welterweight,KO/TKO,Knee,1,1:19
"September 16, 2017","Pittsburgh, Pennsylvania, USA",win,Anthony Smith,Hector Lombard,1,0,35,65,0,1,0,0,Middleweight,KO/TKO,Punches,3,2:33
"September 16, 2017","Pittsburgh, Pennsylvania, USA",win,Gregor Gillespie,Jason Gonzalez,1,0,20,22,4,0,1,0,Lightweight,SUB,Arm Triangle,2,2:11
"September 16, 2017","Pittsburgh, Pennsylvania, USA",win,Kamaru Usman,Sergio Moraes,1,0,16,13,0,0,0,0,Welterweight,KO/TKO,Punch,1,2:48
"September 16, 2017","Pittsburgh, Pennsylvania, USA",win,Justin Ledet,Azunna Anyanwu,0,0,36,37,0,0,0,0,Heavyweight,S-DEC,,3,5:00
"September 16, 2017","Pittsburgh, Pennsylvania, USA",win,Olivier Aubin-Mercier,Anthony Rocco Martin,0,0,20,15,4,0,0,1,Lightweight,S-DEC,,3,5:00
"September 16, 2017","Pittsburgh, Pennsylvania, USA",win,Daniel Spitz,Anthony Hamilton,0,0,5,0,1,0,0,0,Heavyweight,KO/TKO,Punches,1,0:24
"September 16, 2017","Pittsburgh, Pennsylvania, USA",win,Uriah Hall,Krzysztof Jotko,1,1,26,44,0,1,0,1,Middleweight,KO/TKO,Punches,2,2:25
"September 16, 2017","Pittsburgh, Pennsylvania, USA",win,Gilbert Burns,Jason Saggo,1,0,42,35,2,1,0,0,Lightweight,KO/TKO,Punch,2,4:55
