Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 28, 2019","Copenhagen, Denmark",win,Jared Cannonier,Jack Hermansson,1,0,28,20,0,1,0,0,Middleweight,KO/TKO,Punch,2,0:27
"September 28, 2019","Copenhagen, Denmark",win,Mark Madsen,Danilo Belluardo,0,0,22,0,1,0,0,0,Lightweight,KO/TKO,Punches,1,1:12
"September 28, 2019","Copenhagen, Denmark",win,Gilbert Burns,Gunnar Nelson,0,0,30,20,1,0,1,0,Welterweight,U-DEC,,3,5:00
"September 28, 2019","Copenhagen, Denmark",win,Ion Cutelaba,Khalil Rountree Jr.,0,0,15,5,4,0,0,0,Light Heavyweight,KO/TKO,Elbows,1,2:35
"September 28, 2019","Copenhagen, Denmark",win,Ovince Saint Preux,Michal Oleksiejczuk,0,0,14,37,1,0,1,0,Light Heavyweight,SUB,Von Flue Choke,2,2:46
"September 28, 2019","Copenhagen, Denmark",win,Nicolas Dalby,Alex Oliveira,0,0,31,18,1,3,0,0,Welterweight,U-DEC,,3,5:00
"September 28, 2019","Copenhagen, Denmark",win,John Phillips,Alen Amedovski,1,0,5,2,0,0,0,0,Middleweight,KO/TKO,Punch,1,0:17
"September 28, 2019","Copenhagen, Denmark",win,Makhmud Muradov,Alessio Di Chirico,0,0,54,36,0,0,0,0,Middleweight,U-DEC,,3,5:00
"September 28, 2019","Copenhagen, Denmark",win,Ismail Naurdiev,Siyar Bahadurzada,0,0,69,12,3,0,0,0,Welterweight,U-DEC,,3,5:00
"September 28, 2019","Copenhagen, Denmark",win,Giga Chikadze,Brandon Davis,0,0,59,34,1,3,0,0,Featherweight,S-DEC,,3,5:00
"September 28, 2019","Copenhagen, Denmark",win,Lina Lansberg,Macy Chiasson,0,0,21,26,2,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
"September 28, 2019","Copenhagen, Denmark",win,Marc Diakiese,Lando Vannata,0,0,40,25,4,0,0,0,Lightweight,U-DEC,,3,5:00
"September 28, 2019","Copenhagen, Denmark",win,Jack Shore,Nohelin Hernandez,0,0,46,6,4,0,1,0,Bantamweight,SUB,Rear Naked Choke,3,2:51
