Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 12, 2011","Anaheim, California, USA",win,Junior Dos Santos,Cain Velasquez,1,0,8,7,0,0,0,0,Heavyweight,KO/TKO,Punch,1,1:04
"November 12, 2011","Anaheim, California, USA",win,Benson Henderson,Clay Guida,1,0,40,11,2,2,0,4,Lightweight,U-DEC,,3,5:00
"November 12, 2011","Anaheim, California, USA",win,Dustin Poirier,Pablo Garza,0,0,17,14,1,0,1,1,Featherweight,SUB,D'Arce Choke,2,1:32
"November 12, 2011","Anaheim, California, USA",win,Ricardo Lamas,Cub Swanson,0,0,9,17,2,1,1,1,Featherweight,SUB,Arm Triangle,2,2:16
"November 12, 2011","Anaheim, California, USA",win,DaMarques Johnson,Clay Harvison,1,0,6,6,0,0,0,0,Welterweight,KO/TKO,Punch,1,1:34
"November 12, 2011","Anaheim, California, USA",win,Darren Uyenoyama,Norifumi Yamamoto,0,0,15,15,2,1,1,0,Bantamweight,U-DEC,,3,5:00
"November 12, 2011","Anaheim, California, USA",ncnc,Mackens Semerzier,Robert Peralta,0,2,50,39,1,0,0,0,Featherweight,Overturned,,3,1:54
"November 12, 2011","Anaheim, California, USA",win,Alex Caceres,Cole Escovedo,0,0,102,24,0,2,1,0,Bantamweight,U-DEC,,3,5:00
"November 12, 2011","Anaheim, California, USA",win,Mike Pierce,Paul Bradley,0,0,75,63,0,0,0,0,Welterweight,S-DEC,,3,5:00
"November 12, 2011","Anaheim, California, USA",win,Aaron Rosa,Matt Lucas,0,0,59,19,0,1,0,0,Light Heavyweight,M-DEC,,3,5:00
