Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 14, 1995","Casper, Wyoming, USA",win,Oleg Taktarov,David Abbott,0,0,4,17,0,2,4,1,Open Weight,SUB,Rear Naked Choke,1,17:45
"July 14, 1995","Casper, Wyoming, USA",win,Ken Shamrock,Dan Severn,0,0,2,2,0,0,2,0,Open Weight,SUB,Guillotine Choke,1,2:14
"July 14, 1995","Casper, Wyoming, USA",win,Oleg Taktarov,Anthony Macias,0,0,0,0,0,0,1,0,Open Weight,SUB,Guillotine Choke,1,0:09
"July 14, 1995","Casper, Wyoming, USA",win,David Abbott,Paul Varelans,0,0,14,1,1,0,0,0,Open Weight,KO/TKO,Punches,1,1:53
"July 14, 1995","Casper, Wyoming, USA",win,Oleg Taktarov,Dave Beneteau,0,0,0,5,0,1,1,0,Open Weight,SUB,Guillotine Choke,1,0:57
"July 14, 1995","Casper, Wyoming, USA",win,Patrick Smith,Rudyard Moncayo,1,0,6,0,2,0,1,0,Open Weight,SUB,Rear Naked Choke,1,1:08
"July 14, 1995","Casper, Wyoming, USA",win,Paul Varelans,Cal Worsham,1,0,8,9,0,0,0,0,Open Weight,KO/TKO,Elbow,1,1:02
"July 14, 1995","Casper, Wyoming, USA",win,David Abbott,John Matua,2,0,7,0,0,0,0,0,Open Weight,KO/TKO,Punches,1,0:20
"July 14, 1995","Casper, Wyoming, USA",win,Anthony Macias,He-Man Gipson,--,--,--,--,--,--,--,--,Open Weight,KO/TKO,Headbutts,1,3:06
"July 14, 1995","Casper, Wyoming, USA",win,Joel Sutton,Jack McGlaughlin,--,--,--,--,--,--,--,--,Open Weight,KO/TKO,Punches,1,2:01
