Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 28, 2017","Stockholm, Sweden",win,Alexander Gustafsson,Glover Teixeira,2,0,97,42,1,1,0,0,Light Heavyweight,KO/TKO,Punches,5,1:07
"May 28, 2017","Stockholm, Sweden",win,Volkan Oezdemir,Misha Cirkunov,1,0,5,9,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,0:28
"May 28, 2017","Stockholm, Sweden",win,Peter Sobotta,Ben Saunders,3,0,46,19,0,0,0,0,Welterweight,KO/TKO,Knee,2,2:29
"May 28, 2017","Stockholm, Sweden",win,Omari Akhmedov,Abdul Razak Alhassan,0,0,52,43,6,0,0,0,Welterweight,S-DEC,,3,5:00
"May 28, 2017","Stockholm, Sweden",win,Nordine Taleb,Oliver Enkamp,0,0,57,34,2,1,0,0,Welterweight,U-DEC,,3,5:00
"May 28, 2017","Stockholm, Sweden",win,Jack Hermansson,Alex Nicholson,0,0,23,1,1,0,0,1,Middleweight,KO/TKO,Punches,1,2:00
"May 28, 2017","Stockholm, Sweden",win,Pedro Munhoz,Damian Stasiak,0,0,65,44,3,2,1,0,Bantamweight,U-DEC,,3,5:00
"May 28, 2017","Stockholm, Sweden",win,Trevor Smith,Chris Camozzi,1,0,39,10,4,0,0,1,Middleweight,U-DEC,,3,5:00
"May 28, 2017","Stockholm, Sweden",win,Joaquim Silva,Reza Madadi,0,0,40,26,0,5,1,0,Lightweight,S-DEC,,3,5:00
"May 28, 2017","Stockholm, Sweden",win,Bojan Velickovic,Nicholas Musoke,1,0,53,49,1,1,0,0,Welterweight,KO/TKO,Punch,3,4:37
"May 28, 2017","Stockholm, Sweden",win,Darren Till,Jessin Ayari,1,0,31,28,2,0,0,1,Welterweight,U-DEC,,3,5:00
"May 28, 2017","Stockholm, Sweden",win,Damir Hadzovic,Marcin Held,1,0,14,31,0,4,0,1,Lightweight,KO/TKO,Knee,3,0:07
