Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 07, 2014","Albuquerque, New Mexico, USA",win,Benson Henderson,Rustam Khabilov,1,0,26,18,1,6,2,0,Lightweight,SUB,Rear Naked Choke,4,1:16
"June 07, 2014","Albuquerque, New Mexico, USA",win,Diego Sanchez,Ross Pearson,0,1,33,51,0,1,0,0,Lightweight,S-DEC,,3,5:00
"June 07, 2014","Albuquerque, New Mexico, USA",win,John Dodson,John Moraga,1,0,27,8,1,0,0,0,Flyweight,KO/TKO,,2,5:00
"June 07, 2014","Albuquerque, New Mexico, USA",win,Rafael Dos Anjos,Jason High,1,0,36,24,2,3,3,0,Lightweight,KO/TKO,Punch,2,3:36
"June 07, 2014","Albuquerque, New Mexico, USA",win,Piotr Hallmann,Yves Edwards,0,0,56,27,4,1,1,0,Lightweight,SUB,Rear Naked Choke,3,2:31
"June 07, 2014","Albuquerque, New Mexico, USA",win,Bryan Caraway,Erik Perez,0,0,7,10,2,1,2,0,Bantamweight,SUB,Rear Naked Choke,2,1:52
"June 07, 2014","Albuquerque, New Mexico, USA",win,Sergio Pettis,Yaotzin Meza,0,0,54,43,0,1,0,0,Bantamweight,U-DEC,,3,5:00
"June 07, 2014","Albuquerque, New Mexico, USA",win,Lance Benoist,Bobby Voelker,0,0,56,37,2,0,0,0,Welterweight,U-DEC,,3,5:00
"June 07, 2014","Albuquerque, New Mexico, USA",win,Scott Jorgensen,Danny Martinez,0,1,40,47,10,0,0,0,Flyweight,U-DEC,,3,5:00
"June 07, 2014","Albuquerque, New Mexico, USA",win,Jon Tuck,Jake Lindsey,0,0,46,49,3,0,0,0,Lightweight,KO/TKO,Kick,3,2:47
"June 07, 2014","Albuquerque, New Mexico, USA",win,Patrick Cummins,Roger Narvaez,0,0,32,3,3,0,1,0,Light Heavyweight,KO/TKO,Punches,2,2:28
