Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 17, 2011","New Orleans, Louisiana, USA",win,Jake Ellenberger,Jake Shields,1,0,9,1,0,0,0,0,Welterweight,KO/TKO,Knee,1,0:53
"September 17, 2011","New Orleans, Louisiana, USA",win,Court McGee,Dongi Yang,0,1,62,50,2,1,1,0,Middleweight,U-DEC,,3,5:00
"September 17, 2011","New Orleans, Louisiana, USA",win,Erik Koch,Jonathan Brookins,0,0,40,23,0,1,0,0,Featherweight,U-DEC,,3,5:00
"September 17, 2011","New Orleans, Louisiana, USA",win,Alan Belcher,Jason MacDonald,0,0,25,2,0,0,0,0,Middleweight,KO/TKO,Punches,1,3:48
"September 17, 2011","New Orleans, Louisiana, USA",win,Vagner Rocha,Cody McKenzie,0,0,18,15,2,0,4,1,Lightweight,SUB,Rear Naked Choke,2,3:49
"September 17, 2011","New Orleans, Louisiana, USA",win,Evan Dunham,Shamar Bailey,0,0,92,35,0,0,1,0,Lightweight,U-DEC,,3,5:00
"September 17, 2011","New Orleans, Louisiana, USA",win,Lance Benoist,Matthew Riddle,0,0,39,26,1,4,0,0,Welterweight,U-DEC,,3,5:00
"September 17, 2011","New Orleans, Louisiana, USA",win,Ken Stone,Donny Walker,0,0,7,1,2,0,1,0,Bantamweight,SUB,Rear Naked Choke,1,2:40
"September 17, 2011","New Orleans, Louisiana, USA",win,Seth Baczynski,Clay Harvison,1,0,41,12,0,0,1,0,Welterweight,SUB,Rear Naked Choke,2,1:12
"September 17, 2011","New Orleans, Louisiana, USA",win,TJ Waldburger,Mike Stumpf,0,0,4,0,3,0,2,1,Welterweight,SUB,Triangle Choke,1,3:52
"September 17, 2011","New Orleans, Louisiana, USA",win,Robert Peralta,Mike Lullo,0,0,80,51,1,2,0,0,Featherweight,U-DEC,,3,5:00
"September 17, 2011","New Orleans, Louisiana, USA",win,Justin Edwards,Jorge Lopez,0,0,41,42,2,3,2,0,Welterweight,U-DEC,,3,5:00
