Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 03, 2018","New York City, New York, USA",win,Daniel Cormier,Derrick Lewis,0,0,19,4,4,0,1,0,Heavyweight,SUB,Rear Naked Choke,2,2:14
"November 03, 2018","New York City, New York, USA",win,Jacare Souza,Chris Weidman,1,0,74,68,0,1,0,0,Middleweight,KO/TKO,Punches,3,2:46
"November 03, 2018","New York City, New York, USA",win,Jared Cannonier,David Branch,1,0,26,10,0,3,0,0,Middleweight,KO/TKO,Punches,2,0:39
"November 03, 2018","New York City, New York, USA",win,Karl Roberson,Jack Marshman,0,0,34,21,2,0,0,0,Middleweight,U-DEC,,3,5:00
"November 03, 2018","New York City, New York, USA",win,Israel Adesanya,Derek Brunson,3,0,13,3,0,0,0,0,Middleweight,KO/TKO,Punches,1,4:51
"November 03, 2018","New York City, New York, USA",win,Jordan Rinaldi,Jason Knight,0,0,20,12,3,0,2,0,Featherweight,U-DEC,,3,5:00
"November 03, 2018","New York City, New York, USA",win,Sijara Eubanks,Roxanne Modafferi,1,0,57,28,3,1,0,0,Women's Flyweight,U-DEC,,3,5:00
"November 03, 2018","New York City, New York, USA",win,Sheymon Moraes,Julio Arce,2,0,32,25,0,1,0,2,Featherweight,S-DEC,,3,5:00
"November 03, 2018","New York City, New York, USA",win,Lyman Good,Ben Saunders,1,0,14,12,0,0,0,0,Welterweight,KO/TKO,Punches,1,1:32
"November 03, 2018","New York City, New York, USA",drawdraw,Matt Frevola,Lando Vannata,0,2,66,67,2,1,1,1,Lightweight,M-DEC,,3,5:00
"November 03, 2018","New York City, New York, USA",win,Shane Burgos,Kurt Holobaugh,0,1,17,21,0,0,1,0,Featherweight,SUB,Armbar,1,2:11
"November 03, 2018","New York City, New York, USA",win,Marcos Rogerio de Lima,Adam Wieczorek,0,0,28,7,3,1,0,0,Heavyweight,U-DEC,,3,5:00
