Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 11, 2015","Las Vegas, Nevada, USA",win,Frankie Edgar,Chad Mendes,1,0,13,5,0,0,0,0,Featherweight,KO/TKO,Punch,1,2:28
"December 11, 2015","Las Vegas, Nevada, USA",win,Ryan Hall,Artem Lobov,0,0,23,2,1,0,1,0,Lightweight,U-DEC,,3,5:00
"December 11, 2015","Las Vegas, Nevada, USA",win,Tony Ferguson,Edson Barboza,0,0,61,41,0,2,1,0,Lightweight,SUB,D'Arce Choke,2,2:54
"December 11, 2015","Las Vegas, Nevada, USA",win,Evan Dunham,Joe Lauzon,0,0,127,42,1,0,0,0,Lightweight,U-DEC,,3,5:00
"December 11, 2015","Las Vegas, Nevada, USA",win,Tatsuya Kawajiri,Jason Knight,0,0,28,28,6,0,0,1,Featherweight,U-DEC,,3,5:00
"December 11, 2015","Las Vegas, Nevada, USA",win,Julian Erosa,Marcin Wrzosek,0,0,61,52,2,3,2,0,Lightweight,S-DEC,,3,5:00
"December 11, 2015","Las Vegas, Nevada, USA",win,Gabriel Gonzaga,Konstantin Erokhin,0,0,20,15,2,0,0,0,Heavyweight,U-DEC,,3,5:00
"December 11, 2015","Las Vegas, Nevada, USA",win,Ryan LaFlare,Mike Pierce,0,0,65,42,0,0,0,0,Welterweight,U-DEC,,3,5:00
"December 11, 2015","Las Vegas, Nevada, USA",win,Geane Herrera,Joby Sanchez,1,0,40,55,1,0,0,0,Flyweight,KO/TKO,Punch,2,4:28
"December 11, 2015","Las Vegas, Nevada, USA",win,Chris Gruetzemacher,Abner Lloveras,0,0,103,94,0,2,0,0,Lightweight,U-DEC,,3,5:00
