Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 12, 2014","Las Vegas, Nevada, USA",win,Carla Esparza,Rose Namajunas,0,0,42,28,5,1,1,0,Women's Strawweight,SUB,Rear Naked Choke,3,1:26
"December 12, 2014","Las Vegas, Nevada, USA",win,Charles Oliveira,Jeremy Stephens,0,0,43,48,2,0,3,0,Featherweight,U-DEC,,3,5:00
"December 12, 2014","Las Vegas, Nevada, USA",ncnc,KJ Noons,Daron Cruickshank,0,0,18,23,0,2,0,0,Lightweight,CNC,,2,0:25
"December 12, 2014","Las Vegas, Nevada, USA",win,Yancy Medeiros,Joe Proctor,1,0,25,15,0,0,1,0,Lightweight,SUB,Guillotine Choke,1,4:37
"December 12, 2014","Las Vegas, Nevada, USA",win,Jessica Penne,Randa Markos,0,0,39,55,4,1,0,0,Women's Strawweight,S-DEC,,3,5:00
"December 12, 2014","Las Vegas, Nevada, USA",win,Felice Herrig,Lisa Ellis,0,0,8,4,1,2,3,1,Women's Strawweight,SUB,Armbar,2,3:05
"December 12, 2014","Las Vegas, Nevada, USA",win,Heather Clark,Bec Rawlings,0,0,56,69,1,0,1,0,Women's Strawweight,U-DEC,,3,5:00
"December 12, 2014","Las Vegas, Nevada, USA",win,Joanne Wood,Seo Hee Ham,0,0,109,58,2,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"December 12, 2014","Las Vegas, Nevada, USA",win,Tecia Pennington,Angela Magana,1,0,96,37,1,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"December 12, 2014","Las Vegas, Nevada, USA",win,Aisling Daly,Alex Chambers,0,0,16,12,1,1,1,0,Women's Strawweight,SUB,Armbar,1,4:53
"December 12, 2014","Las Vegas, Nevada, USA",win,Angela Hill,Emily Kagan,1,0,107,41,0,2,0,0,Women's Strawweight,U-DEC,,3,5:00
