Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 06, 2016","Salt Lake City, Utah, USA",win,Yair Rodriguez,Alex Caceres,0,0,120,62,1,1,0,0,Featherweight,S-DEC,,5,5:00
"August 06, 2016","Salt Lake City, Utah, USA",win,Dennis Bermudez,Rony Jason,0,0,48,9,5,0,0,0,Featherweight,U-DEC,,3,5:00
"August 06, 2016","Salt Lake City, Utah, USA",win,Thales Leites,Chris Camozzi,0,0,36,8,5,0,1,0,Middleweight,SUB,Rear Naked Choke,3,2:58
"August 06, 2016","Salt Lake City, Utah, USA",win,Santiago Ponzinibbio,Zak Cummings,0,0,58,35,0,1,0,0,Welterweight,U-DEC,,3,5:00
"August 06, 2016","Salt Lake City, Utah, USA",win,Trevor Smith,Joseph Gigliotti,1,0,42,15,4,1,2,1,Middleweight,U-DEC,,3,5:00
"August 06, 2016","Salt Lake City, Utah, USA",win,Maryna Moroz,Danielle Taylor,0,0,17,17,0,1,0,0,Women's Strawweight,S-DEC,,3,5:00
"August 06, 2016","Salt Lake City, Utah, USA",win,Court McGee,Dominique Steele,0,0,15,23,4,0,1,0,Welterweight,U-DEC,,3,5:00
"August 06, 2016","Salt Lake City, Utah, USA",win,Marcin Tybura,Viktor Pesta,1,0,15,3,0,0,0,0,Heavyweight,KO/TKO,Kick,2,0:53
"August 06, 2016","Salt Lake City, Utah, USA",win,David Teymur,Jason Novelli,1,0,26,8,0,0,0,0,Lightweight,KO/TKO,Punches,2,1:25
"August 06, 2016","Salt Lake City, Utah, USA",win,Teruto Ishihara,Horacio Gutierrez,1,0,13,5,0,0,0,0,Featherweight,KO/TKO,Punches,1,2:32
"August 06, 2016","Salt Lake City, Utah, USA",win,Cub Swanson,Tatsuya Kawajiri,0,0,67,23,1,3,1,0,Featherweight,U-DEC,,3,5:00
"August 06, 2016","Salt Lake City, Utah, USA",win,Justin Ledet,Chase Sherman,0,0,113,59,0,0,0,0,Heavyweight,U-DEC,,3,5:00
