Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 07, 2017","Las Vegas, Nevada, USA",win,Justin Gaethje,Michael Johnson,0,0,104,91,0,1,0,0,Lightweight,KO/TKO,Knees,2,4:48
"July 07, 2017","Las Vegas, Nevada, USA",win,Jesse Taylor,Dhiego Lima,0,1,21,4,2,0,2,0,Welterweight,SUB,Rear Naked Choke,2,0:43
"July 07, 2017","Las Vegas, Nevada, USA",win,Drakkar Klose,Marc Diakiese,0,0,39,34,3,2,0,0,Lightweight,S-DEC,,3,5:00
"July 07, 2017","Las Vegas, Nevada, USA",win,Jared Cannonier,Nick Roehrick,0,0,84,28,1,0,0,0,Light Heavyweight,KO/TKO,Elbows,3,2:08
"July 07, 2017","Las Vegas, Nevada, USA",win,Brad Tavares,Elias Theodorou,0,0,31,34,1,3,0,0,Middleweight,U-DEC,,3,5:00
"July 07, 2017","Las Vegas, Nevada, USA",win,Jordan Johnson,Marcel Fortuna,0,0,42,53,2,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"July 07, 2017","Las Vegas, Nevada, USA",win,Angela Hill,Ashley Yoder,0,0,47,26,1,3,0,0,Women's Strawweight,U-DEC,,3,5:00
"July 07, 2017","Las Vegas, Nevada, USA",win,James Krause,Tom Gallicchio,0,0,106,53,0,1,0,0,Welterweight,U-DEC,,3,5:00
"July 07, 2017","Las Vegas, Nevada, USA",win,CB Dollaway,Ed Herman,0,0,54,24,6,1,1,3,Light Heavyweight,U-DEC,,3,5:00
"July 07, 2017","Las Vegas, Nevada, USA",win,Tecia Pennington,Juliana Lima,0,0,15,6,0,1,1,0,Women's Strawweight,SUB,Rear Naked Choke,2,0:53
"July 07, 2017","Las Vegas, Nevada, USA",win,Gray Maynard,Teruto Ishihara,0,0,16,8,11,0,2,0,Featherweight,U-DEC,,3,5:00
