Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 21, 2015","Monterrey, Nuevo Leon, Mexico",win,Neil Magny,Kelvin Gastelum,0,2,54,54,6,2,0,0,Welterweight,S-DEC,,5,5:00
"November 21, 2015","Monterrey, Nuevo Leon, Mexico",win,Ricardo Lamas,Diego Sanchez,0,0,57,30,3,1,0,0,Featherweight,U-DEC,,3,5:00
"November 21, 2015","Monterrey, Nuevo Leon, Mexico",win,Henry Cejudo,Jussier Formiga,0,0,43,25,2,0,0,0,Flyweight,S-DEC,,3,5:00
"November 21, 2015","Monterrey, Nuevo Leon, Mexico",win,Erick Montano,Enrique Marin,0,0,49,27,2,1,0,0,Welterweight,S-DEC,,3,5:00
"November 21, 2015","Monterrey, Nuevo Leon, Mexico",win,Enrique Barzola,Horacio Gutierrez,0,0,38,10,5,0,0,0,Lightweight,U-DEC,,3,5:00
"November 21, 2015","Monterrey, Nuevo Leon, Mexico",win,Leandro Silva,Efrain Escudero,0,0,35,24,0,2,0,0,Lightweight,U-DEC,,3,5:00
"November 21, 2015","Monterrey, Nuevo Leon, Mexico",win,Erik Perez,Taylor Lapilus,0,1,31,20,1,0,0,1,Bantamweight,U-DEC,,3,5:00
"November 21, 2015","Monterrey, Nuevo Leon, Mexico",win,Bartosz Fabinski,Hector Urbina,0,0,25,10,6,0,0,3,Welterweight,U-DEC,,3,5:00
"November 21, 2015","Monterrey, Nuevo Leon, Mexico",win,Alejandro Perez,Scott Jorgensen,0,0,39,11,0,2,0,0,Bantamweight,KO/TKO,,2,4:26
"November 21, 2015","Monterrey, Nuevo Leon, Mexico",win,Andre Fili,Gabriel Benitez,1,0,16,11,1,0,0,0,Featherweight,KO/TKO,Punches,1,3:13
"November 21, 2015","Monterrey, Nuevo Leon, Mexico",win,Alvaro Herrera Mendoza,Vernon Ramos Ho,1,0,4,2,0,0,0,0,Welterweight,KO/TKO,Punches,1,0:30
"November 21, 2015","Monterrey, Nuevo Leon, Mexico",win,Marco Polo Reyes,Cesar Arzamendia,1,0,10,16,0,3,0,0,Lightweight,KO/TKO,Punch,1,3:42
"November 21, 2015","Monterrey, Nuevo Leon, Mexico",win,Michel Prazeres,Valmir Lazaro,0,0,20,41,1,0,0,0,Lightweight,S-DEC,,3,5:00
