Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 10, 2010","Abu Dhabi, United Arab Emirates",win,Anderson Silva,Demian Maia,1,0,61,10,0,0,0,0,Middleweight,U-DEC,,5,5:00
"April 10, 2010","Abu Dhabi, United Arab Emirates",win,Frankie Edgar,BJ Penn,0,0,61,71,1,0,0,0,Lightweight,U-DEC,,5,5:00
"April 10, 2010","Abu Dhabi, United Arab Emirates",win,Matt Hughes,Renzo Gracie,2,0,70,34,0,0,0,0,Welterweight,KO/TKO,Punches,3,4:40
"April 10, 2010","Abu Dhabi, United Arab Emirates",win,Rafael Dos Anjos,Terry Etim,0,0,25,7,2,0,1,1,Lightweight,SUB,Armbar,2,4:30
"April 10, 2010","Abu Dhabi, United Arab Emirates",win,Mark Munoz,Kendall Grove,0,1,25,9,1,0,0,3,Middleweight,KO/TKO,Punches,2,2:50
"April 10, 2010","Abu Dhabi, United Arab Emirates",win,Phil Davis,Alexander Gustafsson,0,0,14,0,1,0,1,0,Light Heavyweight,SUB,Anaconda Choke,1,4:55
"April 10, 2010","Abu Dhabi, United Arab Emirates",win,Rick Story,Nick Osipczak,0,0,31,28,3,2,1,1,Welterweight,S-DEC,,3,5:00
"April 10, 2010","Abu Dhabi, United Arab Emirates",win,DaMarques Johnson,Brad Blackburn,1,0,34,59,0,4,1,2,Welterweight,KO/TKO,Kick,3,2:08
"April 10, 2010","Abu Dhabi, United Arab Emirates",win,Paul Kelly,Matt Veach,0,0,47,4,0,1,3,2,Lightweight,SUB,Guillotine Choke,2,3:41
"April 10, 2010","Abu Dhabi, United Arab Emirates",win,Jon Madsen,Mostapha Al-Turk,0,0,32,20,1,0,0,0,Heavyweight,U-DEC,,3,5:00
