Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 07, 2022","Phoenix, Arizona, USA",win,Charles Oliveira,Justin Gaethje,1,1,30,21,0,0,2,0,Lightweight,SUB,Rear Naked Choke,1,3:22
"May 07, 2022","Phoenix, Arizona, USA",win,Carla Esparza,Rose Namajunas,0,0,30,37,2,1,0,0,Women's Strawweight,S-DEC,,5,5:00
"May 07, 2022","Phoenix, Arizona, USA",win,Michael Chandler,Tony Ferguson,1,0,27,20,1,0,0,0,Lightweight,KO/TKO,Kick,2,0:17
"May 07, 2022","Phoenix, Arizona, USA",win,Ovince Saint Preux,Mauricio Rua,0,0,62,54,0,0,0,0,Light Heavyweight,S-DEC,,3,5:00
"May 07, 2022","Phoenix, Arizona, USA",win,Randy Brown,Khaos Williams,0,1,93,75,0,0,0,0,Welterweight,S-DEC,,3,5:00
"May 07, 2022","Phoenix, Arizona, USA",win,Francisco Trinaldo,Danny Roberts,0,0,80,36,0,0,1,0,Welterweight,U-DEC,,3,5:00
"May 07, 2022","Phoenix, Arizona, USA",win,Macy Chiasson,Norma Dumont,0,0,32,38,6,0,0,0,Women's Featherweight,S-DEC,,3,5:00
"May 07, 2022","Phoenix, Arizona, USA",win,Brandon Royval,Matt Schnell,0,1,14,12,0,0,1,0,Flyweight,SUB,Guillotine Choke,1,2:14
"May 07, 2022","Phoenix, Arizona, USA",win,Blagoy Ivanov,Marcos Rogerio de Lima,0,0,62,68,0,1,0,0,Heavyweight,U-DEC,,3,5:00
"May 07, 2022","Phoenix, Arizona, USA",win,Andre Fialho,Cameron VanCamp,1,0,17,19,0,0,0,0,Welterweight,KO/TKO,Punch,1,2:35
"May 07, 2022","Phoenix, Arizona, USA",win,Tracy Cortez,Melissa Gatto,0,0,36,30,2,3,1,1,Women's Flyweight,U-DEC,,3,5:00
"May 07, 2022","Phoenix, Arizona, USA",win,CJ Vergara,Kleydson Rodrigues,0,0,71,81,0,2,0,1,Flyweight,S-DEC,,3,5:00
"May 07, 2022","Phoenix, Arizona, USA",win,Loopy Godinez,Ariane Carnelossi,0,0,46,9,8,0,2,0,Women's Strawweight,U-DEC,,3,5:00
"May 07, 2022","Phoenix, Arizona, USA",win,Journey Newson,Fernie Garcia,0,0,57,37,2,0,0,0,Bantamweight,U-DEC,,3,5:00
