Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 24, 2008","Las Vegas, Nevada, USA",win,BJ Penn,Sean Sherk,1,0,122,46,0,0,0,0,Lightweight,KO/TKO,Flying Knee,3,5:00
"May 24, 2008","Las Vegas, Nevada, USA",win,Wanderlei Silva,Keith Jardine,2,0,11,1,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,0:36
"May 24, 2008","Las Vegas, Nevada, USA",win,Goran Reljic,Wilson Gouveia,1,1,33,33,0,0,0,0,Light Heavyweight,KO/TKO,Punch,2,3:15
"May 24, 2008","Las Vegas, Nevada, USA",win,Lyoto Machida,Tito Ortiz,1,0,41,16,1,0,0,2,Light Heavyweight,U-DEC,,3,5:00
"May 24, 2008","Las Vegas, Nevada, USA",win,Thiago Silva,Antonio Mendes,0,1,19,5,0,1,1,0,Light Heavyweight,KO/TKO,Punches,1,2:24
"May 24, 2008","Las Vegas, Nevada, USA",win,Rousimar Palhares,Ivan Salaverry,0,0,0,1,1,0,3,0,Middleweight,SUB,Armbar,1,2:36
"May 24, 2008","Las Vegas, Nevada, USA",win,Rameau Thierry Sokoudjou,Kazuhiro Nakamura,1,0,26,6,0,0,0,0,Light Heavyweight,KO/TKO,,1,5:00
"May 24, 2008","Las Vegas, Nevada, USA",win,Rich Clementi,Terry Etim,0,1,20,23,4,0,0,1,Lightweight,U-DEC,,3,5:00
"May 24, 2008","Las Vegas, Nevada, USA",win,Yoshiyuki Yoshida,War Machine,0,0,1,1,1,0,1,0,Welterweight,SUB,Anaconda Choke,1,0:56
"May 24, 2008","Las Vegas, Nevada, USA",win,Dong Hyun Kim,Jason Tan,0,0,77,2,3,0,0,0,Welterweight,KO/TKO,Elbows,3,0:25
"May 24, 2008","Las Vegas, Nevada, USA",win,Shane Carwin,Christian Wellisch,1,0,5,2,0,0,0,0,Heavyweight,KO/TKO,Punch,1,0:44
