Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 19, 2023","Boston, Massachusetts, USA",win,Sean O'Malley,Aljamain Sterling,1,0,25,17,0,0,0,0,Bantamweight,KO/TKO,Punches,2,0:51
"August 19, 2023","Boston, Massachusetts, USA",win,Zhang Weili,Amanda Lemos,1,0,163,24,6,0,0,2,Women's Strawweight,U-DEC,,5,5:00
"August 19, 2023","Boston, Massachusetts, USA",win,Ian Machado Garry,Neil Magny,0,0,91,27,2,0,0,0,Welterweight,U-DEC,,3,5:00
"August 19, 2023","Boston, Massachusetts, USA",win,Mario Bautista,Da'Mon Blackshear,0,0,79,90,2,4,1,0,Bantamweight,U-DEC,,3,5:00
"August 19, 2023","Boston, Massachusetts, USA",win,Marlon Vera,Pedro Munhoz,0,0,141,113,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"August 19, 2023","Boston, Massachusetts, USA",win,Brad Tavares,Chris Weidman,0,0,70,37,0,0,0,0,Middleweight,U-DEC,,3,5:00
"August 19, 2023","Boston, Massachusetts, USA",win,Gregory Rodrigues,Denis Tiuliulin,0,0,5,2,1,0,0,0,Middleweight,KO/TKO,Elbows,1,1:43
"August 19, 2023","Boston, Massachusetts, USA",win,Kurt Holobaugh,Austin Hubbard,0,0,61,44,0,2,2,0,Lightweight,SUB,Triangle Choke,2,2:39
"August 19, 2023","Boston, Massachusetts, USA",win,Brad Katona,Cody Gibson,0,0,160,164,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"August 19, 2023","Boston, Massachusetts, USA",win,Andre Petroski,Gerald Meerschaert,1,0,57,76,2,1,0,0,Middleweight,S-DEC,,3,5:00
"August 19, 2023","Boston, Massachusetts, USA",win,Natalia Silva,Andrea Lee,0,0,70,43,0,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"August 19, 2023","Boston, Massachusetts, USA",win,Karine Silva,Maryna Moroz,1,0,30,16,1,0,1,0,Women's Flyweight,SUB,Guillotine Choke,1,4:59
