Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 22, 2021","Las Vegas, Nevada, USA",win,Rob Font,Cody Garbrandt,0,0,176,63,2,3,0,0,Bantamweight,U-DEC,,5,5:00
"May 22, 2021","Las Vegas, Nevada, USA",win,Carla Esparza,Yan Xiaonan,0,0,27,5,3,0,0,0,Women's Strawweight,KO/TKO,Punches,2,2:58
"May 22, 2021","Las Vegas, Nevada, USA",win,Jared Vanderaa,Justin Tafa,0,0,121,74,0,0,0,0,Heavyweight,U-DEC,,3,5:00
"May 22, 2021","Las Vegas, Nevada, USA",win,Norma Dumont,Felicia Spencer,0,0,68,47,1,0,0,0,Women's Featherweight,S-DEC,,3,5:00
"May 22, 2021","Las Vegas, Nevada, USA",win,Ricardo Ramos,Bill Algeo,0,0,53,76,8,0,1,0,Featherweight,U-DEC,,3,5:00
"May 22, 2021","Las Vegas, Nevada, USA",win,Jack Hermansson,Edmen Shahbazyan,0,0,55,40,3,0,0,1,Middleweight,U-DEC,,3,5:00
"May 22, 2021","Las Vegas, Nevada, USA",win,Ben Rothwell,Chris Barnett,0,0,60,33,1,0,2,0,Heavyweight,SUB,Guillotine Choke,2,2:07
"May 22, 2021","Las Vegas, Nevada, USA",win,Court McGee,Claudio Silva,0,0,37,21,3,1,1,0,Welterweight,U-DEC,,3,5:00
"May 22, 2021","Las Vegas, Nevada, USA",win,Bruno Silva,Victor Rodriguez,1,0,6,0,0,0,0,0,Flyweight,KO/TKO,Punch,1,1:00
"May 22, 2021","Las Vegas, Nevada, USA",win,Josh Culibao,Shayilan Nuerdanbieke,0,0,53,17,0,2,1,0,Featherweight,U-DEC,,3,5:00
"May 22, 2021","Las Vegas, Nevada, USA",win,David Dvorak,Juancamilo Ronderos,0,0,9,11,0,0,1,0,Flyweight,SUB,Rear Naked Choke,1,2:18
"May 22, 2021","Las Vegas, Nevada, USA",win,Damir Ismagulov,Rafael Alves,0,1,56,30,2,0,0,1,Lightweight,U-DEC,,3,5:00
