Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 17, 2008","Omaha, Nebraska, USA",win,Nate Diaz,Josh Neer,0,0,40,26,5,4,0,4,Lightweight,S-DEC,,3,5:00
"September 17, 2008","Omaha, Nebraska, USA",win,Clay Guida,Mac Danzig,0,0,43,36,10,1,0,0,Lightweight,U-DEC,,3,5:00
"September 17, 2008","Omaha, Nebraska, USA",win,Alan Belcher,Ed Herman,0,0,54,43,0,5,0,2,Middleweight,S-DEC,,3,5:00
"September 17, 2008","Omaha, Nebraska, USA",win,Eric Schafer,Houston Alexander,0,0,24,12,1,0,2,0,Light Heavyweight,SUB,Arm Triangle,1,4:53
"September 17, 2008","Omaha, Nebraska, USA",win,Alessio Sakara,Joe Vedepo,1,0,7,7,0,0,0,0,Middleweight,KO/TKO,Kick,1,1:27
"September 17, 2008","Omaha, Nebraska, USA",win,Wilson Gouveia,Ryan Jensen,0,0,8,30,1,2,2,0,Middleweight,SUB,Armbar,2,2:04
"September 17, 2008","Omaha, Nebraska, USA",win,Joe Lauzon,Kyle Bradley,0,0,23,18,1,0,2,0,Lightweight,KO/TKO,Punches,2,1:34
"September 17, 2008","Omaha, Nebraska, USA",win,Jason Brilz,Brad Morris,0,0,34,4,1,0,1,0,Light Heavyweight,KO/TKO,Punches,2,2:54
"September 17, 2008","Omaha, Nebraska, USA",win,Mike Massenzio,Drew McFedries,0,0,0,3,1,0,1,1,Middleweight,SUB,Kimura,1,1:28
"September 17, 2008","Omaha, Nebraska, USA",win,Dan Miller,Rob Kimmons,0,0,0,0,0,0,2,0,Middleweight,SUB,Rear Naked Choke,1,1:27
