Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 18, 2021","Las Vegas, Nevada, USA",win,Derrick Lewis,Chris Daukaus,1,0,14,10,0,0,0,0,Heavyweight,KO/TKO,Punches,1,3:36
"December 18, 2021","Las Vegas, Nevada, USA",win,Belal Muhammad,Stephen Thompson,0,0,58,19,7,0,1,0,Welterweight,U-DEC,,3,5:00
"December 18, 2021","Las Vegas, Nevada, USA",win,Amanda Lemos,Angela Hill,1,0,50,48,0,1,0,0,Women's Strawweight,S-DEC,,3,5:00
"December 18, 2021","Las Vegas, Nevada, USA",win,Ricky Simon,Raphael Assuncao,1,0,18,7,2,0,0,0,Bantamweight,KO/TKO,Punch,2,2:14
"December 18, 2021","Las Vegas, Nevada, USA",win,Mateusz Gamrot,Diego Ferreira,0,0,25,36,4,0,0,0,Lightweight,KO/TKO,Knee,2,3:26
"December 18, 2021","Las Vegas, Nevada, USA",win,Cub Swanson,Darren Elkins,1,0,18,2,0,0,0,0,Featherweight,KO/TKO,Punches,1,2:12
"December 18, 2021","Las Vegas, Nevada, USA",win,Gerald Meerschaert,Dustin Stoltzfus,0,0,11,12,1,4,3,1,Middleweight,SUB,Rear Naked Choke,3,2:58
"December 18, 2021","Las Vegas, Nevada, USA",win,Justin Tafa,Harry Hunsucker,1,0,5,5,0,0,0,1,Heavyweight,KO/TKO,Kick,1,1:53
"December 18, 2021","Las Vegas, Nevada, USA",win,Melissa Gatto,Sijara Eubanks,1,0,17,14,0,1,0,0,Women's Flyweight,KO/TKO,Kick,3,0:45
"December 18, 2021","Las Vegas, Nevada, USA",win,Charles Jourdain,Andre Ewell,0,0,137,56,0,1,0,0,Featherweight,U-DEC,,3,5:00
"December 18, 2021","Las Vegas, Nevada, USA",win,Raquel Pennington,Macy Chiasson,0,0,45,26,0,1,1,0,Women's Featherweight,SUB,Guillotine Choke,2,3:07
"December 18, 2021","Las Vegas, Nevada, USA",win,Don'Tale Mayes,Josh Parisian,0,0,25,10,6,0,0,0,Heavyweight,KO/TKO,Elbows,3,3:26
"December 18, 2021","Las Vegas, Nevada, USA",win,Jordan Leavitt,Matt Sayles,0,0,9,13,1,1,3,1,Lightweight,SUB,Inverted Triangle,2,2:05
