Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"January 31, 2009","Las Vegas, Nevada, USA",win,Georges St-Pierre,BJ Penn,0,0,92,16,4,0,0,0,Welterweight,KO/TKO,,4,5:00
"January 31, 2009","Las Vegas, Nevada, USA",win,Lyoto Machida,Thiago Silva,2,0,24,2,2,0,0,0,Light Heavyweight,KO/TKO,Punch,1,4:59
"January 31, 2009","Las Vegas, Nevada, USA",win,Jon Jones,Stephan Bonnar,1,0,45,37,7,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"January 31, 2009","Las Vegas, Nevada, USA",ncnc,Karo Parisyan,Dong Hyun Kim,0,0,24,19,2,2,1,2,Welterweight,Overturned,,3,5:00
"January 31, 2009","Las Vegas, Nevada, USA",win,Clay Guida,Nate Diaz,0,0,49,49,4,0,1,0,Lightweight,S-DEC,,3,5:00
"January 31, 2009","Las Vegas, Nevada, USA",win,Jon Fitch,Akihiro Gono,0,0,40,7,4,0,2,0,Welterweight,U-DEC,,3,5:00
"January 31, 2009","Las Vegas, Nevada, USA",win,Thiago Tavares,Manvel Gamburyan,0,0,27,26,3,1,0,1,Lightweight,U-DEC,,3,5:00
"January 31, 2009","Las Vegas, Nevada, USA",win,John Howard,Chris Wilson,0,0,21,45,7,2,2,2,Welterweight,S-DEC,,3,5:00
"January 31, 2009","Las Vegas, Nevada, USA",win,Jake O'Brien,Christian Wellisch,1,0,25,46,9,0,0,0,Light Heavyweight,S-DEC,,3,5:00
"January 31, 2009","Las Vegas, Nevada, USA",win,Dan Cramer,Matt Arroyo,0,0,24,16,0,2,0,5,Welterweight,S-DEC,,3,5:00
