Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 08, 2018","Toronto, Ontario, Canada",win,Max Holloway,Brian Ortega,0,0,290,110,1,2,0,0,Featherweight,KO/TKO,,4,5:00
"December 08, 2018","Toronto, Ontario, Canada",win,Valentina Shevchenko,Joanna Jedrzejczyk,0,0,89,78,5,0,0,0,Women's Flyweight,U-DEC,,5,5:00
"December 08, 2018","Toronto, Ontario, Canada",win,Gunnar Nelson,Alex Oliveira,0,0,11,36,2,0,1,0,Welterweight,SUB,Rear Naked Choke,2,4:17
"December 08, 2018","Toronto, Ontario, Canada",win,Hakeem Dawodu,Kyle Bochniak,0,0,103,42,0,2,0,0,Featherweight,S-DEC,,3,5:00
"December 08, 2018","Toronto, Ontario, Canada",win,Thiago Santos,Jimi Manuwa,2,0,42,27,1,0,0,0,Light Heavyweight,KO/TKO,Punch,2,0:41
"December 08, 2018","Toronto, Ontario, Canada",win,Nina Nunes,Claudia Gadelha,0,0,96,49,0,2,0,0,Women's Strawweight,U-DEC,,3,5:00
"December 08, 2018","Toronto, Ontario, Canada",win,Gilbert Burns,Olivier Aubin-Mercier,1,0,76,40,3,0,0,0,Lightweight,U-DEC,,3,5:00
"December 08, 2018","Toronto, Ontario, Canada",win,Jessica Eye,Katlyn Cerminara,0,0,81,65,0,0,0,0,Women's Flyweight,S-DEC,,3,5:00
"December 08, 2018","Toronto, Ontario, Canada",win,Elias Theodorou,Eryk Anders,0,1,92,65,0,0,0,0,Middleweight,S-DEC,,3,5:00
"December 08, 2018","Toronto, Ontario, Canada",win,Brad Katona,Matthew Lopez,0,0,76,69,0,4,0,1,Bantamweight,U-DEC,,3,5:00
"December 08, 2018","Toronto, Ontario, Canada",win,Dhiego Lima,Chad Laprise,1,0,5,8,0,0,0,0,Welterweight,KO/TKO,Punch,1,1:37
"December 08, 2018","Toronto, Ontario, Canada",win,Diego Ferreira,Kyle Nelson,0,0,54,20,2,0,1,0,Lightweight,KO/TKO,Punches,2,1:23
"December 08, 2018","Toronto, Ontario, Canada",win,Aleksandar Rakic,Devin Clark,1,1,31,19,0,0,0,0,Light Heavyweight,KO/TKO,Spinning Back Fist,1,4:05
