Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 31, 2019","Shenzhen, Guangdong, China",win,Zhang Weili,Jessica Andrade,1,0,29,4,0,0,0,0,Women's Strawweight,KO/TKO,Punch,1,0:42
"August 31, 2019","Shenzhen, Guangdong, China",win,Li Jingliang,Elizeu Zaleski dos Santos,3,0,59,54,2,0,0,0,Welterweight,KO/TKO,Punches,3,4:51
"August 31, 2019","Shenzhen, Guangdong, China",win,Kai Kara-France,Mark De La Rosa,1,0,91,60,1,1,0,0,Flyweight,U-DEC,,3,5:00
"August 31, 2019","Shenzhen, Guangdong, China",win,Song Kenan,Derrick Krantz,0,0,58,33,0,3,0,1,Welterweight,U-DEC,,3,5:00
"August 31, 2019","Shenzhen, Guangdong, China",win,Mizuki,Wu Yanan,0,0,93,123,0,0,0,0,Women's Flyweight,S-DEC,,3,5:00
"August 31, 2019","Shenzhen, Guangdong, China",win,Anthony Hernandez,JunYong Park,0,0,59,81,6,0,1,0,Middleweight,SUB,Anaconda Choke,2,4:39
"August 31, 2019","Shenzhen, Guangdong, China",win,Sumudaerji,Andre Soukhamthath,0,0,93,23,1,0,0,0,Bantamweight,U-DEC,,3,5:00
"August 31, 2019","Shenzhen, Guangdong, China",win,Da Woon Jung,Khadis Ibragimov,0,0,81,88,0,1,1,0,Light Heavyweight,SUB,Guillotine Choke,3,1:59
"August 31, 2019","Shenzhen, Guangdong, China",win,Damir Ismagulov,Thiago Moises,1,0,71,36,0,0,0,0,Lightweight,U-DEC,,3,5:00
"August 31, 2019","Shenzhen, Guangdong, China",win,Alatengheili,Batgerel Danaa,0,0,36,85,3,0,0,0,Bantamweight,U-DEC,,3,5:00
"August 31, 2019","Shenzhen, Guangdong, China",win,Karol Rosa,Lara Procopio,1,0,171,165,0,0,0,0,Women's Bantamweight,S-DEC,,3,5:00
