Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 30, 2011","Toronto, Ontario, Canada",win,Georges St-Pierre,Jake Shields,0,0,85,78,2,0,0,0,Welterweight,U-DEC,,5,5:00
"April 30, 2011","Toronto, Ontario, Canada",win,Jose Aldo,Mark Hominick,1,0,94,71,5,1,1,0,Featherweight,U-DEC,,5,5:00
"April 30, 2011","Toronto, Ontario, Canada",win,Lyoto Machida,Randy Couture,1,0,15,5,0,0,0,0,Light Heavyweight,KO/TKO,Kick,2,1:05
"April 30, 2011","Toronto, Ontario, Canada",win,Vladimir Matyushenko,Jason Brilz,1,0,8,1,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,0:20
"April 30, 2011","Toronto, Ontario, Canada",win,Benson Henderson,Mark Bocek,0,0,56,11,3,4,0,2,Lightweight,U-DEC,,3,5:00
"April 30, 2011","Toronto, Ontario, Canada",win,Rory MacDonald,Nate Diaz,0,0,42,26,7,0,0,0,Welterweight,U-DEC,,3,5:00
"April 30, 2011","Toronto, Ontario, Canada",win,Jake Ellenberger,Sean Pierson,1,0,9,3,1,0,0,0,Welterweight,KO/TKO,Punch,1,2:42
"April 30, 2011","Toronto, Ontario, Canada",win,Claude Patrick,Daniel Roberts,0,0,29,6,4,1,1,1,Welterweight,U-DEC,,3,5:00
"April 30, 2011","Toronto, Ontario, Canada",win,Ivan Menjivar,Charlie Valencia,1,0,8,5,0,0,0,0,Bantamweight,KO/TKO,Elbow,1,1:30
"April 30, 2011","Toronto, Ontario, Canada",win,Jason MacDonald,Ryan Jensen,0,0,0,0,0,0,1,1,Middleweight,SUB,Triangle Choke,1,1:37
"April 30, 2011","Toronto, Ontario, Canada",win,John Makdessi,Kyle Watson,1,0,50,25,0,0,0,0,Lightweight,KO/TKO,Spinning Back Fist,3,1:27
"April 30, 2011","Toronto, Ontario, Canada",win,Pablo Garza,Yves Jabouin,0,0,26,16,0,0,1,0,Featherweight,SUB,Triangle Choke,1,4:31
