Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 10, 2016","Cleveland, Ohio, USA",win,Stipe Miocic,Alistair Overeem,0,1,34,9,1,0,0,1,Heavyweight,KO/TKO,Punch,1,4:27
"September 10, 2016","Cleveland, Ohio, USA",win,Fabricio Werdum,Travis Browne,1,0,84,37,0,0,1,0,Heavyweight,U-DEC,,3,5:00
"September 10, 2016","Cleveland, Ohio, USA",win,Mickey Gall,CM Punk,0,0,20,0,1,0,2,0,Welterweight,SUB,Rear Naked Choke,1,2:14
"September 10, 2016","Cleveland, Ohio, USA",win,Jimmie Rivera,Urijah Faber,0,0,54,22,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"September 10, 2016","Cleveland, Ohio, USA",win,Jessica Andrade,Joanne Wood,0,0,20,13,2,0,1,0,Women's Strawweight,SUB,Guillotine Choke,1,4:38
"September 10, 2016","Cleveland, Ohio, USA",win,Bethe Correia,Jessica Eye,0,0,49,52,0,0,0,0,Women's Bantamweight,S-DEC,,3,5:00
"September 10, 2016","Cleveland, Ohio, USA",win,Brad Tavares,Caio Magalhaes,0,0,46,26,0,1,0,1,Middleweight,S-DEC,,3,5:00
"September 10, 2016","Cleveland, Ohio, USA",win,Nik Lentz,Michael McBride,0,0,38,16,5,0,1,0,Lightweight,KO/TKO,Punches,2,4:17
"September 10, 2016","Cleveland, Ohio, USA",win,Drew Dober,Jason Gonzalez,1,0,20,10,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:45
"September 10, 2016","Cleveland, Ohio, USA",win,Yancy Medeiros,Sean Spencer,2,0,17,17,0,0,1,0,Welterweight,SUB,Rear Naked Choke,2,0:49
