Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"January 14, 2023","Las Vegas, Nevada, USA",win,Sean Strickland,Nassourdine Imavov,0,0,182,123,1,0,0,0,Light Heavyweight,U-DEC,,5,5:00
"January 14, 2023","Las Vegas, Nevada, USA",win,Dan Ige,Damon Jackson,1,0,34,36,1,0,0,0,Featherweight,KO/TKO,Punch,2,4:13
"January 14, 2023","Las Vegas, Nevada, USA",win,Roman Kopylov,Punahele Soriano,0,0,82,39,1,0,0,0,Middleweight,KO/TKO,Kick,2,3:19
"January 14, 2023","Las Vegas, Nevada, USA",win,Raquel Pennington,Ketlen Vieira,0,0,81,64,0,0,0,0,Women's Bantamweight,S-DEC,,3,5:00
"January 14, 2023","Las Vegas, Nevada, USA",win,Umar Nurmagomedov,Raoni Barcelos,1,0,36,13,0,0,0,0,Bantamweight,KO/TKO,Punch,1,4:40
"January 14, 2023","Las Vegas, Nevada, USA",win,Javid Basharat,Mateus Mendonca,0,0,95,29,3,2,0,0,Bantamweight,U-DEC,,3,5:00
"January 14, 2023","Las Vegas, Nevada, USA",win,Abdul Razak Alhassan,Claudio Ribeiro,1,0,17,19,0,0,0,0,Middleweight,KO/TKO,Punches,2,0:28
"January 14, 2023","Las Vegas, Nevada, USA",win,Mateusz Rebecki,Nick Fiore,0,0,89,34,3,1,0,0,Lightweight,U-DEC,,3,5:00
"January 14, 2023","Las Vegas, Nevada, USA",win,Allan Nascimento,Carlos Hernandez,0,0,6,3,2,0,1,0,Flyweight,SUB,Rear Naked Choke,1,3:16
"January 14, 2023","Las Vegas, Nevada, USA",win,Dan Argueta,Nick Aguirre,0,0,47,14,4,0,2,1,Featherweight,U-DEC,,3,5:00
"January 14, 2023","Las Vegas, Nevada, USA",win,Charles Johnson,Jimmy Flick,0,0,34,7,0,1,0,0,Flyweight,KO/TKO,Punches,1,4:33
