Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 20, 2020","Las Vegas, Nevada, USA",win,Curtis Blaydes,Alexander Volkov,0,0,69,31,14,1,0,0,Heavyweight,U-DEC,,5,5:00
"June 20, 2020","Las Vegas, Nevada, USA",win,Josh Emmett,Shane Burgos,2,0,127,128,1,0,0,0,Featherweight,U-DEC,,3,5:00
"June 20, 2020","Las Vegas, Nevada, USA",win,Raquel Pennington,Marion Reneau,0,0,107,46,1,2,0,0,Women's Bantamweight,U-DEC,,3,5:00
"June 20, 2020","Las Vegas, Nevada, USA",win,Belal Muhammad,Lyman Good,0,0,82,81,2,0,0,0,Welterweight,U-DEC,,3,5:00
"June 20, 2020","Las Vegas, Nevada, USA",win,Jim Miller,Roosevelt Roberts,0,0,2,1,0,0,1,0,Catch Weight,SUB,Armbar,1,2:25
"June 20, 2020","Las Vegas, Nevada, USA",win,King Green,Clay Guida,0,0,85,23,2,3,2,0,Lightweight,U-DEC,,3,5:00
"June 20, 2020","Las Vegas, Nevada, USA",win,Tecia Pennington,Brianna Fortino,0,0,74,34,0,2,0,0,Women's Strawweight,U-DEC,,3,5:00
"June 20, 2020","Las Vegas, Nevada, USA",ncnc,Marc-Andre Barriault,Oskar Piechota,1,0,74,37,1,0,0,0,Middleweight,Overturned,Punches,2,4:50
"June 20, 2020","Las Vegas, Nevada, USA",win,Gillian Robertson,Cortney Casey,0,0,21,22,3,0,1,0,Women's Flyweight,SUB,Rear Naked Choke,3,4:36
"June 20, 2020","Las Vegas, Nevada, USA",win,Justin Jaynes,Frank Camacho,1,0,16,4,0,0,0,0,Lightweight,KO/TKO,Punches,1,0:41
"June 20, 2020","Las Vegas, Nevada, USA",win,Lauren Murphy,Roxanne Modafferi,0,0,72,44,2,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"June 20, 2020","Las Vegas, Nevada, USA",win,Austin Hubbard,Max Rohskopf,0,0,58,17,0,2,0,1,Lightweight,KO/TKO,,2,5:00
