Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 07, 2008","London, England, United Kingdom",win,Thiago Alves,Matt Hughes,1,0,10,9,1,1,0,0,Welterweight,KO/TKO,Flying Knee,2,1:02
"June 07, 2008","London, England, United Kingdom",win,Michael Bisping,Jason Day,0,0,25,7,2,0,0,0,Middleweight,KO/TKO,Punches,1,3:42
"June 07, 2008","London, England, United Kingdom",win,Mike Swick,Marcus Davis,0,0,32,31,2,3,1,2,Welterweight,U-DEC,,3,5:00
"June 07, 2008","London, England, United Kingdom",win,Thales Leites,Nate Marquardt,1,0,13,35,0,5,2,0,Middleweight,S-DEC,,3,5:00
"June 07, 2008","London, England, United Kingdom",win,Fabricio Werdum,Brandon Vera,0,0,15,15,2,0,0,0,Heavyweight,KO/TKO,Punches,1,4:40
"June 07, 2008","London, England, United Kingdom",win,Martin Kampmann,Jorge Rivera,0,0,4,2,1,0,2,1,Middleweight,SUB,Guillotine Choke,1,2:44
"June 07, 2008","London, England, United Kingdom",win,Matt Wiman,Thiago Tavares,1,0,18,13,2,1,1,3,Lightweight,KO/TKO,Punches,2,1:57
"June 07, 2008","London, England, United Kingdom",win,Kevin Burns,Roan Carneiro,0,0,8,12,0,2,1,0,Welterweight,SUB,Triangle Choke,2,3:50
"June 07, 2008","London, England, United Kingdom",win,Luiz Cane,Jason Lambert,3,0,15,8,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,2:07
"June 07, 2008","London, England, United Kingdom",win,Paul Taylor,Jess Liaudin,1,0,45,35,1,7,0,1,Welterweight,S-DEC,,3,5:00
"June 07, 2008","London, England, United Kingdom",win,Antoni Hardonk,Eddie Sanchez,1,2,48,33,0,2,0,0,Heavyweight,KO/TKO,Punch,2,4:15
