Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 21, 2021","Las Vegas, Nevada, USA",win,Jared Cannonier,Kelvin Gastelum,1,0,81,89,0,0,0,0,Middleweight,U-DEC,,5,5:00
"August 21, 2021","Las Vegas, Nevada, USA",win,Mark Madsen,Clay Guida,0,0,98,72,0,0,0,0,Lightweight,S-DEC,,3,5:00
"August 21, 2021","Las Vegas, Nevada, USA",win,Parker Porter,Chase Sherman,0,0,149,117,1,0,0,0,Heavyweight,U-DEC,,3,5:00
"August 21, 2021","Las Vegas, Nevada, USA",win,Saidyokub Kakhramonov,Trevin Jones,0,0,36,12,2,1,4,0,Bantamweight,SUB,Guillotine Choke,3,4:39
"August 21, 2021","Las Vegas, Nevada, USA",win,Vinc Pichel,Austin Hubbard,0,0,71,56,0,4,0,0,Lightweight,U-DEC,,3,5:00
"August 21, 2021","Las Vegas, Nevada, USA",win,Alexandre Pantoja,Brandon Royval,0,0,22,17,3,1,2,0,Flyweight,SUB,Rear Naked Choke,2,1:46
"August 21, 2021","Las Vegas, Nevada, USA",win,Austin Lingo,Luis Saldana,1,0,73,77,0,0,0,0,Featherweight,U-DEC,,3,5:00
"August 21, 2021","Las Vegas, Nevada, USA",win,Brian Kelleher,Domingo Pilarte,0,0,28,3,3,0,2,0,Bantamweight,U-DEC,,3,5:00
"August 21, 2021","Las Vegas, Nevada, USA",win,Josiane Nunes,Bea Malecki,1,0,52,35,0,0,0,0,Women's Bantamweight,KO/TKO,Punch,1,4:54
"August 21, 2021","Las Vegas, Nevada, USA",win,William Knight,Fabio Cherant,1,0,14,15,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,3:58
"August 21, 2021","Las Vegas, Nevada, USA",win,Ignacio Bahamondes,Roosevelt Roberts,1,0,105,55,0,0,0,0,Lightweight,KO/TKO,Kick,3,4:55
"August 21, 2021","Las Vegas, Nevada, USA",win,Ramiz Brahimaj,Sasha Palatnikov,0,0,1,1,2,0,1,0,Welterweight,SUB,Rear Naked Choke,1,2:33
