Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 07, 2010","Oakland, California, USA",win,Anderson Silva,Chael Sonnen,0,0,29,89,1,3,3,1,Middleweight,SUB,Triangle Armbar,5,3:10
"August 07, 2010","Oakland, California, USA",win,Jon Fitch,Thiago Alves,0,0,29,22,9,0,0,0,Welterweight,U-DEC,,3,5:00
"August 07, 2010","Oakland, California, USA",win,Clay Guida,Rafael Dos Anjos,0,0,19,17,2,1,0,0,Lightweight,SUB,Injury,3,1:51
"August 07, 2010","Oakland, California, USA",win,Matt Hughes,Ricardo Almeida,1,0,2,10,0,0,1,0,Welterweight,SUB,Schultz Front Headlock,1,3:15
"August 07, 2010","Oakland, California, USA",win,Junior Dos Santos,Roy Nelson,1,0,130,40,1,0,0,0,Heavyweight,U-DEC,,3,5:00
"August 07, 2010","Oakland, California, USA",win,Rick Story,Dustin Hazelett,1,0,75,7,3,0,0,2,Welterweight,KO/TKO,Punches,2,1:15
"August 07, 2010","Oakland, California, USA",win,Phil Davis,Rodney Wallace,0,0,59,2,3,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"August 07, 2010","Oakland, California, USA",win,Johny Hendricks,Charlie Brenneman,2,0,28,9,0,2,0,0,Welterweight,KO/TKO,Punches,2,0:40
"August 07, 2010","Oakland, California, USA",win,Tim Boetsch,Todd Brown,0,0,60,28,3,0,1,0,Light Heavyweight,U-DEC,,3,5:00
"August 07, 2010","Oakland, California, USA",win,Stefan Struve,Christian Morecraft,1,0,11,36,0,1,2,1,Heavyweight,KO/TKO,Punch,2,0:22
"August 07, 2010","Oakland, California, USA",win,Dennis Hallman,Ben Saunders,0,0,28,30,3,0,0,1,Welterweight,U-DEC,,3,5:00
