Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 01, 2017","Las Vegas, Nevada, USA",win,Nicco Montano,Roxanne Modafferi,0,0,186,132,3,2,1,1,Women's Flyweight,U-DEC,,5,5:00
"December 01, 2017","Las Vegas, Nevada, USA",win,Sean O'Malley,Terrion Ware,0,0,141,88,3,0,0,0,Bantamweight,U-DEC,,3,5:00
"December 01, 2017","Las Vegas, Nevada, USA",win,Lauren Murphy,Barb Honchak,0,0,59,71,2,0,0,2,Women's Flyweight,S-DEC,,3,5:00
"December 01, 2017","Las Vegas, Nevada, USA",win,Gerald Meerschaert,Eric Spicely,1,0,36,17,0,1,0,1,Middleweight,KO/TKO,Kick,2,2:18
"December 01, 2017","Las Vegas, Nevada, USA",drawdraw,DeAnna Bennett,Melinda Fabian,0,1,47,49,0,0,1,0,Women's Flyweight,M-DEC,,3,5:00
"December 01, 2017","Las Vegas, Nevada, USA",win,Brett Johns,Joe Soto,0,0,1,0,0,0,1,0,Bantamweight,SUB,Calf Slicer,1,0:30
"December 01, 2017","Las Vegas, Nevada, USA",win,Montana De La Rosa,Christina Marks,0,0,6,10,0,1,1,0,Women's Flyweight,SUB,Armbar,1,2:00
"December 01, 2017","Las Vegas, Nevada, USA",win,Ryan Janes,Andrew Sanchez,0,2,159,96,0,3,0,0,Middleweight,KO/TKO,Punch,3,0:58
"December 01, 2017","Las Vegas, Nevada, USA",win,Rachael Ostovich,Karine Gevorgyan,0,0,3,2,1,0,1,0,Women's Flyweight,SUB,Armbar,1,1:40
"December 01, 2017","Las Vegas, Nevada, USA",win,Shana Dobson,Ariel Beck,1,0,34,35,0,0,0,0,Women's Flyweight,KO/TKO,Punch,2,2:53
"December 01, 2017","Las Vegas, Nevada, USA",win,Gillian Robertson,Emily Whitmire,0,0,2,9,1,0,1,0,Women's Flyweight,SUB,Armbar,1,2:12
