Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 19, 2018","Santiago, Chile",win,Kamaru Usman,Demian Maia,1,0,66,27,0,0,0,0,Welterweight,U-DEC,,5,5:00
"May 19, 2018","Santiago, Chile",win,Tatiana Suarez,Alexa Grasso,0,0,2,6,2,0,1,0,Women's Strawweight,SUB,Rear Naked Choke,1,2:44
"May 19, 2018","Santiago, Chile",win,Dominick Reyes,Jared Cannonier,1,0,20,6,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,2:55
"May 19, 2018","Santiago, Chile",win,Guido Cannetti,Diego Rivas,0,0,25,22,1,2,1,1,Bantamweight,U-DEC,,3,5:00
"May 19, 2018","Santiago, Chile",win,Andrea Lee,Veronica Hardy,0,0,56,24,3,1,2,1,Women's Flyweight,U-DEC,,3,5:00
"May 19, 2018","Santiago, Chile",win,Vicente Luque,Chad Laprise,1,0,14,13,0,0,0,0,Welterweight,KO/TKO,Punch,1,4:16
"May 19, 2018","Santiago, Chile",win,Michel Prazeres,Zak Cummings,0,0,30,28,3,0,0,0,Welterweight,S-DEC,,3,5:00
"May 19, 2018","Santiago, Chile",win,Alexandre Pantoja,Brandon Moreno,0,0,79,45,0,2,0,0,Flyweight,U-DEC,,3,5:00
"May 19, 2018","Santiago, Chile",win,Poliana Botelho,Syuri Kondo,1,0,9,2,0,0,0,0,Women's Strawweight,KO/TKO,Kick,1,0:33
"May 19, 2018","Santiago, Chile",win,Gabriel Benitez,Humberto Bandenay,1,0,9,2,1,0,0,1,Featherweight,KO/TKO,Slam,1,0:39
"May 19, 2018","Santiago, Chile",win,Enrique Barzola,Brandon Davis,0,0,51,29,10,0,1,0,Featherweight,U-DEC,,3,5:00
"May 19, 2018","Santiago, Chile",win,Frankie Saenz,Henry Briones,1,0,66,44,4,0,0,1,Bantamweight,U-DEC,,3,5:00
"May 19, 2018","Santiago, Chile",win,Claudio Puelles,Felipe Silva,0,1,16,70,2,1,1,0,Lightweight,SUB,Kneebar,3,2:23
