Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 09, 2022","Las Vegas, Nevada, USA",win,Rafael Fiziev,Rafael Dos Anjos,1,0,64,54,0,2,0,0,Lightweight,KO/TKO,Punch,5,0:18
"July 09, 2022","Las Vegas, Nevada, USA",win,Caio Borralho,Armen Petrosyan,0,0,12,31,4,0,0,0,Middleweight,U-DEC,,3,5:00
"July 09, 2022","Las Vegas, Nevada, USA",win,Said Nurmagomedov,Douglas Silva de Andrade,0,0,42,28,1,1,0,0,Bantamweight,U-DEC,,3,5:00
"July 09, 2022","Las Vegas, Nevada, USA",win,Chase Sherman,Jared Vanderaa,1,0,137,109,0,0,0,0,Heavyweight,KO/TKO,Punches,3,3:10
"July 09, 2022","Las Vegas, Nevada, USA",win,Aiemann Zahabi,Ricky Turcios,0,0,54,27,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"July 09, 2022","Las Vegas, Nevada, USA",win,Jamie Mullarkey,Michael Johnson,0,1,96,66,0,0,0,0,Lightweight,S-DEC,,3,5:00
"July 09, 2022","Las Vegas, Nevada, USA",win,Cody Brundage,Tresean Gore,1,0,15,8,1,0,0,0,Middleweight,KO/TKO,Punch,1,3:50
"July 09, 2022","Las Vegas, Nevada, USA",win,Antonina Shevchenko,Cortney Casey,0,0,55,33,0,2,0,0,Women's Flyweight,S-DEC,,3,5:00
"July 09, 2022","Las Vegas, Nevada, USA",win,David Onama,Garrett Armfield,0,0,29,21,2,0,1,0,Featherweight,SUB,Arm Triangle,2,3:13
"July 09, 2022","Las Vegas, Nevada, USA",win,Kennedy Nzechukwu,Karl Roberson,0,0,20,9,5,0,1,0,Light Heavyweight,KO/TKO,Elbows,3,2:19
"July 09, 2022","Las Vegas, Nevada, USA",win,Saidyokub Kakhramonov,Ronnie Lawrence,0,0,32,15,10,1,0,0,Bantamweight,U-DEC,,3,5:00
