Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 17, 2016","Sacramento, California, USA",win,Michelle Waterson-Gomez,Paige VanZant,0,0,12,5,1,0,2,0,Women's Strawweight,SUB,Rear Naked Choke,1,3:21
"December 17, 2016","Sacramento, California, USA",win,Mickey Gall,Sage Northcutt,1,1,9,13,2,0,3,0,Welterweight,SUB,Rear Naked Choke,2,1:40
"December 17, 2016","Sacramento, California, USA",win,Urijah Faber,Brad Pickett,1,0,70,18,5,1,1,0,Bantamweight,U-DEC,,3,5:00
"December 17, 2016","Sacramento, California, USA",win,Alan Jouban,Mike Perry,1,0,69,37,2,0,0,0,Welterweight,U-DEC,,3,5:00
"December 17, 2016","Sacramento, California, USA",win,Paul Craig,Henrique da Silva,0,0,31,16,1,1,3,0,Light Heavyweight,SUB,Armbar,2,1:59
"December 17, 2016","Sacramento, California, USA",win,Mizuto Hirota,Cole Miller,0,0,57,21,6,0,0,0,Featherweight,U-DEC,,3,5:00
"December 17, 2016","Sacramento, California, USA",win,Colby Covington,Bryan Barberena,0,0,76,41,12,0,0,0,Welterweight,U-DEC,,3,5:00
"December 17, 2016","Sacramento, California, USA",win,Alex Morono,James Moontasri,0,0,111,46,0,0,0,0,Welterweight,U-DEC,,3,5:00
"December 17, 2016","Sacramento, California, USA",win,Josh Emmett,Scott Holtzman,0,0,87,65,8,3,1,0,Lightweight,U-DEC,,3,5:00
"December 17, 2016","Sacramento, California, USA",win,Leslie Smith,Irene Aldana,1,0,169,108,0,1,0,0,Women's Bantamweight,U-DEC,,3,5:00
"December 17, 2016","Sacramento, California, USA",win,Eddie Wineland,Takeya Mizugaki,2,0,9,13,0,0,0,0,Bantamweight,KO/TKO,Punches,1,3:04
"December 17, 2016","Sacramento, California, USA",win,Hector Sandoval,Fredy Serrano,0,0,33,22,2,0,2,0,Flyweight,U-DEC,,3,5:00
"December 17, 2016","Sacramento, California, USA",win,Sultan Aliev,Bojan Velickovic,0,0,15,22,2,0,0,1,Welterweight,S-DEC,,3,5:00
