Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"January 22, 2022","Anaheim, California, USA",win,Francis Ngannou,Ciryl Gane,0,0,43,63,4,1,0,3,Heavyweight,U-DEC,,5,5:00
"January 22, 2022","Anaheim, California, USA",win,Deiveson Figueiredo,Brandon Moreno,3,0,86,105,2,1,0,0,Flyweight,U-DEC,,5,5:00
"January 22, 2022","Anaheim, California, USA",win,Michel Pereira,Andre Fialho,0,0,107,45,1,0,0,0,Welterweight,U-DEC,,3,5:00
"January 22, 2022","Anaheim, California, USA",win,Said Nurmagomedov,Cody Stamann,0,0,7,1,0,0,1,0,Bantamweight,SUB,Guillotine Choke,1,0:47
"January 22, 2022","Anaheim, California, USA",win,Michael Morales,Trevin Giles,1,0,26,8,0,1,0,1,Welterweight,KO/TKO,Punches,1,4:06
"January 22, 2022","Anaheim, California, USA",win,Victor Henry,Raoni Barcelos,0,0,181,134,0,1,0,0,Bantamweight,U-DEC,,3,5:00
"January 22, 2022","Anaheim, California, USA",win,Jack Della Maddalena,Pete Rodriguez,1,0,43,25,0,0,0,0,Welterweight,KO/TKO,Punch,1,2:59
"January 22, 2022","Anaheim, California, USA",win,Tony Gravely,Saimon Oliveira,0,0,46,35,11,0,0,4,Bantamweight,U-DEC,,3,5:00
"January 22, 2022","Anaheim, California, USA",win,Matt Frevola,Genaro Valdez,4,0,60,10,0,0,0,0,Lightweight,KO/TKO,Punches,1,3:15
"January 22, 2022","Anaheim, California, USA",win,Vanessa Demopoulos,Silvana Gomez Juarez,0,1,4,10,0,0,2,0,Women's Strawweight,SUB,Armbar,1,2:25
"January 22, 2022","Anaheim, California, USA",win,Jasmine Jasudavicius,Kay Hansen,0,0,50,44,2,1,0,0,Women's Flyweight,U-DEC,,3,5:00
