Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 27, 2018","Moncton, New Brunswick, Canada",win,Anthony Smith,Volkan Oezdemir,0,0,63,77,1,1,2,0,Light Heavyweight,SUB,Rear Naked Choke,3,4:26
"October 27, 2018","Moncton, New Brunswick, Canada",win,Michael Johnson,Artem Lobov,0,0,99,67,1,0,0,0,Featherweight,U-DEC,,3,5:00
"October 27, 2018","Moncton, New Brunswick, Canada",win,Misha Cirkunov,Patrick Cummins,0,0,11,3,1,0,2,0,Light Heavyweight,SUB,Arm Triangle,1,2:40
"October 27, 2018","Moncton, New Brunswick, Canada",win,Andre Soukhamthath,Jonathan Martinez,2,0,79,71,3,1,1,0,Bantamweight,U-DEC,,3,5:00
"October 27, 2018","Moncton, New Brunswick, Canada",win,Gian Villante,Ed Herman,0,0,81,84,0,0,0,0,Light Heavyweight,S-DEC,,3,5:00
"October 27, 2018","Moncton, New Brunswick, Canada",win,Court McGee,Alex Garcia,1,0,51,27,2,1,0,0,Welterweight,U-DEC,,3,5:00
"October 27, 2018","Moncton, New Brunswick, Canada",win,Sean Strickland,Nordine Taleb,1,0,65,48,0,0,0,0,Welterweight,KO/TKO,Punch,2,3:10
"October 27, 2018","Moncton, New Brunswick, Canada",win,Nasrat Haqparast,Thibault Gouti,1,0,124,78,0,0,0,0,Lightweight,U-DEC,,3,5:00
"October 27, 2018","Moncton, New Brunswick, Canada",win,Calvin Kattar,Chris Fishgold,1,0,24,20,0,1,0,0,Featherweight,KO/TKO,Punch,1,4:11
"October 27, 2018","Moncton, New Brunswick, Canada",win,Talita Bernardo,Sarah Moras,0,0,60,37,2,1,1,0,Women's Bantamweight,U-DEC,,3,5:00
"October 27, 2018","Moncton, New Brunswick, Canada",win,Don Madge,Te Edwards,2,0,21,5,0,1,1,0,Lightweight,KO/TKO,Kick,2,0:14
"October 27, 2018","Moncton, New Brunswick, Canada",win,Arjan Bhullar,Marcelo Golm,0,0,47,43,1,0,0,0,Heavyweight,U-DEC,,3,5:00
"October 27, 2018","Moncton, New Brunswick, Canada",win,Stevie Ray,Jessin Ayari,0,0,75,63,0,0,0,0,Lightweight,U-DEC,,3,5:00
