Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 11, 2023","Las Vegas, Nevada, USA",win,Merab Dvalishvili,Petr Yan,0,0,147,75,11,1,0,0,Bantamweight,U-DEC,,5,5:00
"March 11, 2023","Las Vegas, Nevada, USA",win,Alexander Volkov,Alexandr Romanov,0,0,12,0,0,0,0,0,Heavyweight,KO/TKO,Punches,1,2:16
"March 11, 2023","Las Vegas, Nevada, USA",win,Nikita Krylov,Ryan Spann,0,0,7,5,2,1,2,1,Catch Weight,SUB,Triangle Choke,1,3:38
"March 11, 2023","Las Vegas, Nevada, USA",win,Jonathan Martinez,Said Nurmagomedov,0,0,38,47,0,3,1,2,Bantamweight,U-DEC,,3,5:00
"March 11, 2023","Las Vegas, Nevada, USA",win,Mario Bautista,Guido Cannetti,0,0,3,2,3,1,1,0,Bantamweight,SUB,Rear Naked Choke,1,3:18
"March 11, 2023","Las Vegas, Nevada, USA",win,Vitor Petrino,Anton Turkalj,0,0,39,33,7,5,1,0,Light Heavyweight,U-DEC,,3,5:00
"March 11, 2023","Las Vegas, Nevada, USA",win,Karl Williams,Lukasz Brzeski,1,0,38,26,8,0,0,0,Heavyweight,U-DEC,,3,5:00
"March 11, 2023","Las Vegas, Nevada, USA",win,Davey Grant,Raphael Assuncao,1,0,65,42,0,5,1,0,Bantamweight,SUB,Inverted Triangle,3,4:43
"March 11, 2023","Las Vegas, Nevada, USA",win,Josh Fremd,Sedriques Dumas,0,0,33,20,2,0,2,0,Middleweight,SUB,Guillotine Choke,2,3:00
"March 11, 2023","Las Vegas, Nevada, USA",win,Victor Henry,Tony Gravely,0,0,154,75,0,3,2,0,Bantamweight,S-DEC,,3,5:00
"March 11, 2023","Las Vegas, Nevada, USA",win,Ariane da Silva,JJ Aldrich,0,0,101,49,2,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"March 11, 2023","Las Vegas, Nevada, USA",win,Bruno Silva,Tyson Nam,1,0,23,12,0,0,1,0,Flyweight,SUB,Rear Naked Choke,2,1:23
"March 11, 2023","Las Vegas, Nevada, USA",win,Carlston Harris,Jared Gooden,0,0,63,51,5,0,0,0,Welterweight,U-DEC,,3,5:00
