Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 04, 2019","Ottawa, Ontario, Canada",win,Donald Cerrone,Al Iaquinta,2,0,138,90,0,0,0,0,Lightweight,U-DEC,,5,5:00
"May 04, 2019","Ottawa, Ontario, Canada",win,Derek Brunson,Elias Theodorou,0,0,56,65,4,0,0,0,Middleweight,U-DEC,,3,5:00
"May 04, 2019","Ottawa, Ontario, Canada",win,Shane Burgos,Cub Swanson,0,0,134,129,0,0,0,0,Featherweight,S-DEC,,3,5:00
"May 04, 2019","Ottawa, Ontario, Canada",win,Merab Dvalishvili,Brad Katona,0,0,55,32,5,0,0,0,Bantamweight,U-DEC,,3,5:00
"May 04, 2019","Ottawa, Ontario, Canada",win,Walt Harris,Serghei Spivac,1,0,17,1,0,0,0,0,Heavyweight,KO/TKO,Knees,1,0:50
"May 04, 2019","Ottawa, Ontario, Canada",win,Andrew Sanchez,Marc-Andre Barriault,0,0,72,69,2,0,0,0,Middleweight,U-DEC,,3,5:00
"May 04, 2019","Ottawa, Ontario, Canada",win,Macy Chiasson,Sarah Moras,0,0,43,9,0,1,0,1,Women's Bantamweight,KO/TKO,Punches,2,2:22
"May 04, 2019","Ottawa, Ontario, Canada",win,Vince Morales,Aiemann Zahabi,0,0,59,28,0,1,0,0,Bantamweight,U-DEC,,3,5:00
"May 04, 2019","Ottawa, Ontario, Canada",win,Nordine Taleb,Kyle Prepolec,0,0,90,52,0,0,0,0,Welterweight,U-DEC,,3,5:00
"May 04, 2019","Ottawa, Ontario, Canada",win,Matt Sayles,Kyle Nelson,0,0,75,26,0,2,1,4,Featherweight,SUB,Arm Triangle,3,3:16
"May 04, 2019","Ottawa, Ontario, Canada",win,Arjan Bhullar,Juan Adams,0,0,41,81,2,0,0,0,Heavyweight,U-DEC,,3,5:00
"May 04, 2019","Ottawa, Ontario, Canada",win,Cole Smith,Mitch Gagnon,0,1,38,15,2,0,2,2,Bantamweight,U-DEC,,3,5:00
