Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"January 02, 2016","Las Vegas, Nevada, USA",win,Robbie Lawler,Carlos Condit,1,0,92,176,0,0,0,0,Welterweight,S-DEC,,5,5:00
"January 02, 2016","Las Vegas, Nevada, USA",win,Stipe Miocic,Andrei Arlovski,1,0,11,7,0,0,0,0,Heavyweight,KO/TKO,Punch,1,0:54
"January 02, 2016","Las Vegas, Nevada, USA",win,Albert Tumenov,Lorenz Larkin,0,0,76,69,0,0,0,0,Welterweight,S-DEC,,3,5:00
"January 02, 2016","Las Vegas, Nevada, USA",win,Brian Ortega,Diego Brandao,0,0,29,56,0,2,2,0,Featherweight,SUB,Triangle Choke,3,1:37
"January 02, 2016","Las Vegas, Nevada, USA",win,Abel Trujillo,Tony Sims,0,0,4,5,0,1,1,0,Lightweight,SUB,Guillotine Choke,1,3:18
"January 02, 2016","Las Vegas, Nevada, USA",win,Michael McDonald,Masanori Kanehara,0,0,5,15,0,2,2,1,Bantamweight,SUB,Rear Naked Choke,2,2:09
"January 02, 2016","Las Vegas, Nevada, USA",win,Alex Morono,Kyle Noke,0,0,43,59,0,1,1,0,Welterweight,S-DEC,,3,5:00
"January 02, 2016","Las Vegas, Nevada, USA",win,Justine Kish,Nina Nunes,0,0,72,92,3,1,0,0,Women's Strawweight,U-DEC,,3,5:00
"January 02, 2016","Las Vegas, Nevada, USA",win,Drew Dober,Scott Holtzman,0,0,36,38,5,2,0,0,Lightweight,U-DEC,,3,5:00
"January 02, 2016","Las Vegas, Nevada, USA",win,Dustin Poirier,Joe Duffy,0,0,72,37,4,0,0,1,Lightweight,U-DEC,,3,5:00
"January 02, 2016","Las Vegas, Nevada, USA",win,Michinori Tanaka,Joe Soto,0,0,57,71,3,1,0,4,Bantamweight,S-DEC,,3,5:00
"January 02, 2016","Las Vegas, Nevada, USA",win,Sheldon Westcott,Edgar Garcia,0,0,33,1,1,0,0,0,Welterweight,KO/TKO,Punches,1,3:12
